,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Arizona Cardinals,@LA,29.00,7.0,2,0,1,0,1,6,71,52,123
1,Minnesota Vikings,Chi,25.00,2.0,2,0,3,0,1,10,140,183,323
2,New York Giants,@Was,23.00,4.0,2,0,1,0,1,10,246,38,284
3,New York Jets,Buf,22.00,3.0,1,0,2,0,1,10,162,68,230
4,Tampa Bay Buccaneers,Car,19.00,3.0,3,0,0,0,1,16,207,128,335
5,Denver Broncos,Oak,18.00,2.0,1,0,2,0,0,6,164,57,221
6,Philadelphia Eagles,Dal,16.00,3.0,2,0,0,1,0,13,126,69,195
7,Tennessee Titans,Hou,16.00,4.0,0,0,1,0,1,17,243,46,289
8,Cincinnati Bengals,Bal,14.00,3.0,2,0,0,0,0,10,263,72,335
9,Carolina Panthers,@TB,13.00,3.0,1,0,1,1,0,17,188,112,300
10,Pittsburgh Steelers,Cle,13.00,4.0,1,0,3,0,0,24,206,231,437
11,Jacksonville Jaguars,@Ind,11.00,4.0,1,0,1,1,0,24,290,94,384
12,Kansas City Chiefs,@SD,11.00,0.0,2,0,0,0,1,27,269,129,398
13,Indianapolis Colts,Jax,10.00,2.0,0,0,2,0,0,20,288,182,470
14,Seattle Seahawks,@SF,10.00,5.0,0,0,2,0,0,23,191,62,253
15,San Diego Chargers,KC,9.00,1.0,1,0,0,0,1,37,262,103,365
16,New England Patriots,@Mia,8.00,0.0,1,0,1,0,0,14,205,75,280
17,Cleveland Browns,@Pit,7.00,4.0,1,0,0,0,0,27,243,69,312
18,Houston Texans,@Ten,7.00,4.0,1,0,0,0,0,24,133,103,236
19,Los Angeles Rams,Ari,7.00,1.0,2,0,0,1,0,44,260,84,344
20,San Francisco 49ers,Sea,7.00,2.0,0,1,0,1,0,25,289,87,376
21,Green Bay Packers,@Det,5.00,2.0,1,0,0,0,0,24,332,76,408
22,Washington Redskins,NYG,5.00,1.0,0,0,0,0,0,19,171,161,332
23,Atlanta Falcons,NO,4.00,2.0,1,0,0,0,0,32,341,132,473
24,Dallas Cowboys,@Phi,3.00,2.0,0,0,0,0,0,27,232,114,346
25,Oakland Raiders,@Den,3.00,0.0,1,0,0,0,0,24,206,143,349
26,Baltimore Ravens,@Cin,2.00,1.0,0,0,0,0,0,27,218,153,371
27,Chicago Bears,@Min,2.00,0.0,1,0,0,0,0,38,250,124,374
28,Buffalo Bills,@NYJ,1.00,1.0,0,0,0,0,0,30,202,127,329
29,Detroit Lions,GB,1.00,1.0,0,0,0,0,0,31,295,153,448
30,New Orleans Saints,@Atl,1.00,1.0,0,0,0,0,0,38,323,142,465
31,Miami Dolphins,NE,0.00,0.0,0,0,0,0,0,35,276,120,396
