,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Andre Johnson, Hou",Bal,35.00,0,0,0,0,0,0,0,0,0,0,9,140,2,0,0,0
1,"DeSean Jackson, Phi",@Dal,31.00,0,0,0,0,0,0,2,6,0,0,4,210,1,0,0,0
2,"Deion Branch, NE",@Chi,29.00,0,0,0,0,0,0,0,0,0,0,8,151,1,0,0,0
3,"Pierre Garcon, Ind",@Ten,27.00,0,0,0,0,0,0,0,0,0,0,6,93,2,0,0,0
4,"Derrick Mason, Bal",@Hou,25.00,0,0,0,0,0,0,0,0,0,0,6,78,2,0,0,0
5,"Santana Moss, Was",TB,21.00,0,0,0,0,0,0,0,0,0,0,7,82,1,0,0,0
6,"Malcom Floyd, SD",KC,21.00,0,0,0,0,0,0,0,0,0,0,4,51,2,0,0,0
7,"Marques Colston, NO",Stl,21.00,0,0,0,0,0,0,0,0,0,0,5,46,2,0,0,0
8,"Wes Welker, NE",@Chi,19.00,0,0,0,0,0,0,0,0,0,0,8,115,0,0,0,0
9,"Hines Ward, Pit",Cin,19.00,0,0,0,0,0,0,0,0,0,0,8,115,0,0,0,0
10,"Lance Moore, NO",Stl,18.00,0,0,0,0,0,0,0,0,0,0,5,70,1,0,0,0
11,"Jacoby Jones, Hou",Bal,18.00,0,0,0,0,0,0,0,0,0,0,5,52,1,1,0,0
12,"Louis Murphy, Oak",@Jax,17.00,0,0,0,0,0,0,0,0,0,0,6,59,1,0,0,0
13,"Josh Morgan, SF",Sea,17.00,0,0,0,0,0,0,0,0,0,0,3,82,1,0,0,0
14,"Ruvell Martin, Sea",@SF,17.00,0,0,0,0,0,0,0,0,0,0,4,73,1,0,0,0
15,"Deon Butler, Sea",@SF,17.00,0,0,0,0,0,0,1,2,0,0,5,68,1,0,0,0
16,"Arrelious Benn, TB",@Was,17.00,0,0,0,0,0,0,1,17,0,0,4,122,0,0,0,0
17,"Hakeem Nicks, NYG",@Min,16.00,0,0,0,0,0,0,0,0,0,0,7,96,0,0,0,0
18,"Roddy White, Atl",@Car,15.00,0,0,0,0,0,0,0,0,0,0,8,79,0,0,0,0
19,"Reggie Wayne, Ind",@Ten,14.00,0,0,0,0,0,0,0,0,0,0,4,106,0,0,0,0
20,"Mike Wallace, Pit",Cin,13.00,0,0,0,0,0,0,1,12,0,0,5,78,0,0,0,0
21,"Chad Johnson, Cin",@Pit,13.00,0,0,0,0,0,0,0,0,0,0,6,71,0,0,0,0
22,"Larry Fitzgerald, Ari",Den,13.00,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0
23,"Blair White, Ind",@Ten,12.00,0,0,0,0,0,0,0,0,0,0,7,52,0,0,0,0
24,"Sidney Rice, Min",NYG,11.00,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0
25,"Jason Hill, Jax",Oak,11.00,0,0,0,0,0,0,0,0,0,0,1,48,1,0,0,0
26,"Brandon Gibson, Stl",@NO,11.00,0,0,0,0,0,0,1,13,0,0,4,67,0,0,0,0
27,"Jerricho Cotchery, NYJ",Mia,11.00,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
28,"Kevin Walter, Hou",Bal,10.00,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,0
29,"Mike Sims-Walker, Jax",Oak,10.00,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0
30,"Brandon Marshall, Mia",@NYJ,9.00,0,0,0,0,0,0,0,0,0,0,2,16,1,0,0,0
31,"Brandon LaFell, Car",Atl,9.00,0,0,0,0,0,0,0,0,0,0,6,38,0,0,0,0
32,"Stevie Johnson, Buf",Cle,9.00,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0
33,"Greg Jennings, GB",@Det,9.00,0,0,0,0,0,0,0,0,0,0,4,52,0,0,0,0
34,"Kelley Washington, SD",KC,8.00,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0
35,"Laurent Robinson, Stl",@NO,8.00,0,0,0,0,0,0,0,0,0,0,2,61,0,0,0,0
36,"Marcel Reece, Oak",@Jax,8.00,0,0,0,0,0,0,2,3,0,0,4,48,0,0,0,0
37,"David Nelson, Buf",Cle,8.00,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0
38,"Bernard Berrian, Min",NYG,8.00,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0
39,"Earl Bennett, Chi",NE,8.00,0,0,0,0,0,0,0,0,0,0,3,53,0,0,0,0
40,"Nate Washington, Ten",Ind,7.00,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
41,"Eddie Royal, Den",@Ari,7.00,0,0,0,0,0,0,2,8,0,0,4,46,0,0,1,0
42,"Mohamed Massaquoi, Cle",@Buf,7.00,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0
43,"Santonio Holmes, NYJ",Mia,7.00,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,0
44,"Jabar Gaffney, Den",@Ari,7.00,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
45,"Anquan Boldin, Bal",@Hou,7.00,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
46,"Anthony Armstrong, Was",TB,7.00,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0
47,"Brandon Tate, NE",@Chi,6.00,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
48,"Brandon Stokley, Sea",@SF,6.00,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
49,"Kevin Ogletree, Dal",Phi,6.00,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
50,"Brandon Lloyd, Den",@Ari,6.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
51,"James Jones, GB",@Det,6.00,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
52,"Calvin Johnson, Det",GB,6.00,0,0,0,0,0,0,1,13,0,0,1,44,0,0,0,0
53,"Darrius Heyward-Bey, Oak",@Jax,6.00,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
54,"Kenny Britt, Ten",Ind,6.00,0,0,0,0,0,0,0,0,0,0,4,39,0,0,1,0
55,"Miles Austin, Dal",Phi,6.00,0,0,0,0,0,0,1,26,0,0,2,22,0,0,0,0
56,"Golden Tate, Sea",@SF,5.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
57,"Jordan Shipley, Cin",@Pit,5.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
58,"Vincent Jackson, SD",KC,5.00,0,0,0,0,0,0,1,14,0,0,2,29,0,0,0,0
59,"Jacoby Ford, Oak",@Jax,5.00,0,0,0,0,0,0,1,-2,0,0,2,43,0,0,1,0
60,"Harry Douglas, Atl",@Car,5.00,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0
61,"Antonio Brown, Pit",Cin,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
62,"David Anderson, Hou",Bal,5.00,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
63,"Roy Williams, Dal",Phi,4.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
64,"Jordy Nelson, GB",@Det,4.00,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
65,"Bryant Johnson, Det",GB,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
66,"Michael Jenkins, Atl",@Car,4.00,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
67,"T.J. Houshmandzadeh, Bal",@Hou,4.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
68,"David Gettis, Car",Atl,4.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
69,"Early Doucet, Ari",Den,4.00,0,0,0,0,0,0,1,3,0,0,2,24,0,0,0,0
70,"Steve Breaston, Ari",Den,4.00,1,0,0,0,0,0,1,17,0,0,2,18,0,0,0,0
71,"Jason Avant, Phi",@Dal,4.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
72,"Danny Amendola, Stl",@NO,4.00,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
73,"Steve Smith, Car",Atl,3.00,0,0,0,0,0,0,1,9,0,0,2,17,0,0,0,0
74,"Brian Robiskie, Cle",@Buf,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
75,"Antwaan Randle El, Pit",Cin,3.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
76,"Terrell Owens, Cin",@Pit,3.00,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0
77,"Greg Lewis, Min",NYG,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
78,"Donald Jones, Buf",Cle,3.00,0,0,0,0,0,0,1,-2,0,0,2,14,0,0,0,0
79,"Chad Hall, Phi",@Dal,3.00,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
80,"Brian Finneran, Atl",@Car,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
81,"Donald Driver, GB",@Det,3.00,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
82,"Terrance Copper, KC",@SD,3.00,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
83,"Mike Williams, TB",@Was,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
84,"Brett Swain, GB",@Det,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
85,"Sammie Stroughter, TB",@Was,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
86,"Steve Smith, NYG",@Min,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
87,"Jeremy Maclin, Phi",@Dal,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
88,"Johnny Knox, Chi",NE,2.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,1,0
89,"Derek Hagan, NYG",@Min,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
90,"Braylon Edwards, NYJ",Mia,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
91,"Riley Cooper, Phi",@Dal,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
92,"Chris Chambers, KC",@SD,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
93,"Nate Burleson, Det",GB,2.00,0,0,0,0,0,0,1,-1,0,0,1,12,0,0,0,0
94,"Devin Aromashodu, Chi",NE,2.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
95,"Eric Weems, Atl",@Car,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
96,"Chansi Stuckey, Cle",@Buf,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
97,"Andre Roberts, Ari",Den,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
98,"Mario Manningham, NYG",@Min,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
99,"Sam Hurd, Dal",Phi,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
100,"Justin Gage, Ten",Ind,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
101,"Joshua Cribbs, Cle",@Buf,1.00,0,0,0,0,0,0,1,-11,0,0,1,7,0,0,0,0
102,"Michael Crabtree, SF",Sea,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
103,"Greg Camarillo, Min",NYG,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
104,"Dwayne Bowe, KC",@SD,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
105,"Davone Bess, Mia",@NYJ,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
106,"Mike Thomas, Jax",Oak,0.00,0,0,0,0,0,0,1,-8,0,0,0,0,0,0,0,0
107,"Brad Smith, NYJ",Mia,0.00,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
108,"Eric Decker, Den",@Ari,0.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0
109,"Courtney Roby, NO",Stl,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
