,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,St. Louis Rams,Cle,28.00,4.0,0,0,4,0,1,6,282,82,364
1,New York Giants,Dal,25.00,1.0,3,0,1,0,2,20,227,233,460
2,Jacksonville Jaguars,Buf,24.00,4.0,2,0,2,0,2,31,260,115,375
3,Seattle Seahawks,@SF,16.00,6.0,0,0,0,0,0,3,81,61,142
4,Kansas City Chiefs,Pit,15.00,2.0,2,0,1,0,0,13,192,147,339
5,Miami Dolphins,Hou,13.00,4.0,1,0,0,0,1,26,251,71,322
6,San Francisco 49ers,Sea,13.00,5.0,2,0,0,0,0,20,212,176,388
7,Atlanta Falcons,@Ten,12.00,1.0,2,0,0,0,0,7,179,77,256
8,Arizona Cardinals,Bal,11.00,3.0,1,0,1,0,0,18,221,55,276
9,Carolina Panthers,Phi,11.00,5.0,1,0,0,0,0,16,172,177,349
10,Minnesota Vikings,@Det,11.00,7.0,0,0,0,0,0,19,197,77,274
11,New Orleans Saints,@Ind,11.00,4.0,2,0,1,0,0,21,301,75,376
12,Tennessee Titans,Atl,11.00,0.0,2,0,0,0,0,10,251,127,378
13,Buffalo Bills,@Jax,10.00,2.0,1,0,0,0,1,34,175,120,295
14,Tampa Bay Buccaneers,@Was,9.00,1.0,0,0,1,0,1,31,305,50,355
15,Detroit Lions,Min,8.00,4.0,0,1,1,0,0,28,285,140,425
16,Philadelphia Eagles,@Car,8.00,1.0,3,0,0,0,0,27,190,204,394
17,Houston Texans,@Mia,6.00,4.0,0,0,1,0,0,44,255,248,503
18,Baltimore Ravens,@Ari,5.00,2.0,0,0,0,1,0,26,264,150,414
19,Cleveland Browns,@Stl,5.00,2.0,0,0,1,0,0,24,150,158,308
20,Indianapolis Colts,NO,5.00,2.0,1,0,0,0,0,27,266,183,449
21,New England Patriots,NYJ,5.00,2.0,0,0,1,0,0,23,283,89,372
22,Oakland Raiders,@SD,5.00,1.0,2,0,0,0,0,29,327,90,417
23,Dallas Cowboys,@NYG,3.00,2.0,0,0,0,0,0,27,157,132,289
24,New York Jets,@NE,3.00,3.0,0,0,0,0,0,30,337,16,353
25,Pittsburgh Steelers,@KC,3.00,2.0,0,0,0,0,0,23,239,138,377
26,Washington Redskins,TB,3.00,1.0,0,0,1,0,0,30,289,190,479
27,San Diego Chargers,Oak,1.00,1.0,0,0,0,0,0,37,282,130,412
