Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
87,16846,Tyler Kroft,TE,17,CIN,BAL,7,8,2500,0
88,16962,AJ Derby,TE,17,DEN,OAK,23,25,2500,0
89,17015,Gerald Christian,TE,17,BUF,NYJ,26,27,2500,0
90,17223,Eric Tomlinson,TE,17,NYJ,BUF,17,9,2500,0
91,17750,Ross Travis,TE,17,KC,LAC,16,16,2500,0
92,17963,Austin Hooper,TE,17,ATL,NO,30,20,2500,0
93,18019,Nick Vannett,TE,17,SEA,SF,32,15,2500,0
94,18057,Seth DeValve,TE,17,CLE,PIT,8,3,2500,0
95,18101,Jerell Adams,TE,17,NYG,WAS,25,23,2500,0
96,18147,Thomas Duarte,TE,17,MIA,NE,2,10,2500,0
