Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,11056,Antonio Brown,WR,15,PIT,CIN,17,4,8400,20.1
2,16389,Odell Beckham Jr,WR,15,NYG,DET,18,8,8000,19.2
3,16597,Mike Evans,WR,15,TB,DAL,11,15,8300,19
4,5571,Larry Fitzgerald,WR,15,ARI,NO,27,15,7000,17.6
5,4556,Jordy Nelson,WR,15,GB,CHI,11,24,7300,17.6
6,14005,TY Hilton,WR,15,IND,MIN,2,2,7200,16.8
7,16765,Amari Cooper,WR,15,OAK,LAC,22,9,7100,15.7
8,16906,Stefon Diggs,WR,15,MIN,IND,29,14,6200,15.5
9,13460,Doug Baldwin,WR,15,SEA,LAR,14,25,6600,15.2
10,9331,Michael Crabtree,WR,15,OAK,LAC,22,9,5900,15
11,11197,Demaryius Thomas,WR,15,DEN,NE,8,10,6300,14.8
12,11611,Golden Tate,WR,15,DET,NYG,7,7,6500,14.7
13,11270,Dez Bryant,WR,15,DAL,TB,19,18,6800,14.6
14,8355,Julian Edelman,WR,15,NE,DEN,1,1,6100,14.2
15,11063,Emmanuel Sanders,WR,15,DEN,NE,8,10,6600,14.1
16,16470,Davante Adams,WR,15,GB,CHI,11,24,6100,14
17,18082,Tyreek Hill,WR,15,KC,TEN,23,32,5700,14
18,16568,Brandin Cooks,WR,15,NO,ARI,3,12,6200,13.9
19,14187,Alshon Jeffery,WR,15,CHI,GB,16,22,6000,13.7
20,15974,Jordan Matthews,WR,15,PHI,BAL,5,29,5400,13.7
21,16020,Jarvis Landry,WR,15,MIA,NYJ,24,17,5400,13.6
22,17048,Tyrell Williams,WR,15,LAC,OAK,25,18,5800,13.6
23,17960,Michael Thomas,WR,15,NO,ARI,3,12,6400,13.4
24,14986,DeAndre Hopkins,WR,15,HOU,JAX,10,5,5000,13.3
25,13693,Terrelle Pryor,WR,15,CLE,BUF,19,11,5200,13.1
26,16003,Sammy Watkins,WR,15,BUF,CLE,31,27,5900,12.9
27,16866,Jamison Crowder,WR,15,WAS,CAR,28,27,5400,12.8
28,16263,Allen Robinson,WR,15,JAX,HOU,6,6,4400,12.7
29,16129,Taylor Gabriel,WR,15,ATL,SF,32,31,5600,12.6
30,4358,Steve Smith,WR,15,BAL,PHI,12,30,5300,12.5
31,16141,Willie Snead,WR,15,NO,ARI,3,12,5600,12.2
32,13878,Mohamed Sanu,WR,15,ATL,SF,32,31,4900,12.1
33,16258,Marqise Lee,WR,15,JAX,HOU,6,6,4000,12
34,13788,Rishard Matthews,WR,15,TEN,KC,15,28,4600,12
35,8532,Kenny Britt,WR,15,LAR,SEA,5,20,4600,12
36,13227,Randall Cobb,WR,15,GB,CHI,11,24,4600,11.8
37,6767,Pierre Garcon,WR,15,WAS,CAR,28,27,4700,11.7
38,3943,DeSean Jackson,WR,15,WAS,CAR,28,27,5500,11.5
39,8529,Mike Wallace,WR,15,BAL,PHI,12,30,4800,11.5
40,14141,Cole Beasley,WR,15,DAL,TB,19,18,5100,11.4
41,16550,Kelvin Benjamin,WR,15,CAR,WAS,25,13,5500,11.2
42,11667,Brandon Marshall,WR,15,NYJ,MIA,23,22,5700,11.1
43,8914,Jeremy Maclin,WR,15,KC,TEN,23,32,4700,11
44,13870,Marvin Jones,WR,15,DET,NYG,7,7,4700,11
45,15534,Adam Thielen,WR,15,MIN,IND,29,14,4800,11
46,11463,Brandon LaFell,WR,15,CIN,PIT,9,3,4700,10.6
47,11712,Anquan Boldin,WR,15,DET,NYG,7,7,4500,10.5
48,16775,Devante Parker,WR,15,MIA,NYJ,24,17,4700,10.3
49,17986,Tyler Boyd,WR,15,CIN,PIT,9,3,4600,10.2
50,16728,Dontrelle Inman,WR,15,LAC,OAK,25,18,5100,10
51,18034,Malcolm Mitchell,WR,15,NE,DEN,1,1,4700,10
52,17961,Sterling Shepard,WR,15,NYG,DET,18,8,4600,9.9
53,18187,Robby Anderson,WR,15,NYJ,MIA,23,22,4200,9.7
54,17167,Cameron Meredith,WR,15,CHI,GB,16,22,4200,9.1
55,12794,Jeremy Kerley,WR,15,SF,ATL,30,23,3400,8.9
56,16919,JJ Nelson,WR,15,ARI,NO,27,15,3900,8.8
57,16830,Tyler Lockett,WR,15,SEA,LAR,14,25,4000,8.7
58,12109,Ted Ginn,WR,15,CAR,WAS,25,13,4500,8.7
59,17938,Corey Coleman,WR,15,CLE,BUF,19,11,4100,8.6
60,14871,Robert Woods,WR,15,BUF,CLE,31,27,3500,8.6
61,17290,Adam Humphries,WR,15,TB,DAL,11,15,3700,8.4
62,17916,Will Fuller,WR,15,HOU,JAX,10,5,4100,8
63,13887,Travis Benjamin,WR,15,LAC,OAK,25,18,3800,7.8
64,15215,Tavon Austin,WR,15,LAR,SEA,5,20,3700,7.8
65,14828,Chris Hogan,WR,15,NE,DEN,1,1,3800,7.6
66,15241,Quinton Patton,WR,15,SF,ATL,30,23,3200,7.5
67,16801,Dorial Green-Beckham,WR,15,PHI,BAL,5,29,3500,7.4
68,16063,Quincy Enunwa,WR,15,NYJ,MIA,23,22,4300,7.3
69,17219,Daniel Brown,WR,15,CHI,GB,16,22,2500,7.3
70,15196,Kenny Stills,WR,15,MIA,NYJ,24,17,3800,7.2
71,14749,Jermaine Kearse,WR,15,SEA,LAR,14,25,3000,7.2
72,16640,John Brown,WR,15,ARI,NO,27,15,3800,7.1
73,18058,Tajae Sharpe,WR,15,TEN,KC,15,28,3300,7.1
74,16790,Phillip Dorsett,WR,15,IND,MIN,2,2,3800,6.8
75,13957,Kendall Wright,WR,15,TEN,KC,15,28,3200,6.7
76,17480,Eli Rogers,WR,15,PIT,CIN,17,4,3600,6.5
77,15150,Cordarrelle Patterson,WR,15,MIN,IND,29,14,3200,6.4
78,16326,Seth Roberts,WR,15,OAK,LAC,22,9,3000,6.3
79,15088,Terrance Williams,WR,15,DAL,TB,19,18,3200,6.2
80,16802,Devin Funchess,WR,15,CAR,WAS,25,13,3400,6.2
81,16979,Neal Sterling,WR,15,JAX,HOU,6,6,2500,6.1
82,12246,Victor Cruz,WR,15,NYG,DET,18,8,3300,6
83,16787,Breshad Perriman,WR,15,BAL,PHI,12,30,3100,5.8
84,16868,Justin Hardy,WR,15,ATL,SF,32,31,3300,5.7
85,14865,Marquise Goodwin,WR,15,BUF,CLE,31,27,3100,5.4
86,14424,Brian Quick,WR,15,LAR,SEA,5,20,3100,5.4
87,16837,Chris Conley,WR,15,KC,TEN,23,32,3100,5.2
88,13171,Aldrick Robinson,WR,15,ATL,SF,32,31,3400,5.2
