Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
49,16837,Chris Conley,WR,5,KC,HOU,3,3,100,46,0,19,15,15,0,0,0,0,0,7.60
50,18882,Cooper Kupp,WR,5,LAR,SEA,8,3,38,44,0,19,6,15,0,0,0,0,0,7.40
51,11182,Eric Decker,WR,5,TEN,MIA,6,4,67,34,0,14,6,9,0,0,0,0,0,7.40
52,17079,Kasen Williams,WR,5,CLE,NYJ,5,4,80,33,0,12,7,8,0,0,0,0,0,7.30
53,16258,Marqise Lee,WR,5,JAX,PIT,4,2,50,49,0,31,12,25,0,0,0,0,0,6.90
54,15509,Jaron Brown,WR,5,ARI,PHI,6,3,50,39,0,20,7,13,0,0,0,0,0,6.90
55,13227,Randall Cobb,WR,5,GB,DAL,5,4,80,29,0,13,6,7,0,0,0,0,0,6.90
56,16694,Paul Richardson,WR,5,SEA,LAR,5,3,60,35,0,14,7,12,0,0,0,0,0,6.50
57,16830,Tyler Lockett,WR,5,SEA,LAR,4,3,75,26,0,12,7,9,1,7,0,0,0,6.30
58,16884,Vince Mayle,WR,5,BAL,OAK,0,0,0,0,0,0,0,0,1,2,1,0,0,6.20
59,16232,Donte Moncrief,WR,5,IND,SF,3,3,100,32,0,15,11,11,0,0,0,0,0,6.20
60,13788,Rishard Matthews,WR,5,TEN,MIA,6,3,50,34,0,17,6,11,1,-3,0,0,0,6.10
61,14187,Alshon Jeffery,WR,5,PHI,ARI,4,3,75,31,0,16,8,10,0,0,0,0,0,6.10
62,16469,Jared Abbrederis,WR,5,DET,CAR,3,2,67,37,0,25,12,19,0,0,0,0,0,5.70
63,16326,Seth Roberts,WR,5,OAK,BAL,4,2,50,34,0,22,9,17,0,0,0,0,0,5.40
64,13887,Travis Benjamin,WR,5,LAC,NYG,3,2,67,18,0,12,6,9,1,14,0,0,0,5.20
65,16664,Bruce Ellington,WR,5,HOU,KC,3,2,67,30,0,22,10,15,0,0,0,0,0,5
66,18611,Bryce Treggs,WR,5,CLE,NYJ,6,2,33,28,0,19,5,14,0,0,0,0,0,4.80
67,12722,Kamar Aiken,WR,5,IND,SF,7,2,29,22,0,13,3,11,0,0,0,0,0,4.20
68,18039,Pharoh Cooper,WR,5,LAR,SEA,4,2,50,22,0,19,6,11,0,0,0,0,0,4.20
69,16253,Allen Hurns,WR,5,JAX,PIT,3,2,67,21,0,18,7,11,0,0,0,0,0,4.10
70,16308,Albert Wilson,WR,5,KC,HOU,3,2,67,18,0,12,6,9,0,0,0,0,0,3.80
71,18187,Robby Anderson,WR,5,NYJ,CLE,5,2,40,16,0,10,3,8,0,0,0,0,0,3.60
72,11667,Brandon Marshall,WR,5,NYG,LAC,3,2,67,15,0,12,5,8,0,0,0,0,0,3.50
73,14850,Russell Shepard,WR,5,CAR,DET,2,2,100,15,0,10,8,8,0,0,0,0,0,3.50
74,16787,Breshad Perriman,WR,5,BAL,OAK,3,2,67,15,0,13,5,8,0,0,0,0,0,3.50
75,15088,Terrance Williams,WR,5,DAL,GB,3,2,67,14,0,10,5,7,0,0,0,0,0,3.40
76,17048,Tyrell Williams,WR,5,LAC,NYG,2,1,50,22,0,22,11,22,0,0,0,0,0,3.20
77,16456,TJ Jones,WR,5,DET,CAR,4,2,50,12,0,8,3,6,0,0,0,0,0,3.20
78,19627,Chris Thompson,WR,5,HOU,KC,1,1,100,19,0,19,19,19,0,0,0,0,0,2.90
79,14478,Michael Floyd,WR,5,MIN,CHI,1,1,100,19,0,19,19,19,0,0,0,0,0,2.90
80,17004,Tre McBride,WR,5,CHI,MIN,1,1,100,18,0,18,18,18,0,0,0,0,0,2.80
81,18089,Rashard Higgins,WR,5,CLE,NYJ,4,2,50,7,0,5,2,4,0,0,0,0,0,2.70
82,18047,Demarcus Robinson,WR,5,KC,HOU,1,1,100,16,0,16,16,16,0,0,0,0,0,2.60
83,17986,Tyler Boyd,WR,5,CIN,BUF,2,2,100,6,0,5,3,3,0,0,0,0,0,2.60
84,15196,Kenny Stills,WR,5,MIA,TEN,2,1,50,13,0,13,7,13,0,0,0,0,0,2.30
85,17961,Sterling Shepard,WR,5,NYG,LAC,2,1,50,9,0,9,5,9,0,0,0,0,0,1.90
86,18926,Zay Jones,WR,5,BUF,CIN,6,1,17,9,0,9,2,9,0,0,0,0,0,1.90
87,18880,Chris Godwin,WR,5,TB,NE,2,1,50,8,0,8,4,8,0,0,0,0,0,1.80
88,16081,Michael Campanaro,WR,5,BAL,OAK,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
89,16765,Amari Cooper,WR,5,OAK,BAL,2,1,50,8,0,8,4,8,0,0,0,0,0,1.80
90,14978,Justin Hunter,WR,5,PIT,JAX,3,1,33,6,0,6,2,6,0,0,0,0,0,1.60
91,19064,Trent Taylor,WR,5,SF,IND,2,1,50,6,0,6,3,6,0,0,0,0,0,1.60
92,18197,Alex Erickson,WR,5,CIN,BUF,1,1,100,12,0,12,12,12,1,-6,0,1,0,1.60
93,16775,Devante Parker,WR,5,MIA,TEN,1,1,100,6,0,6,6,6,0,0,0,0,0,1.60
94,18209,Marcus Johnson,WR,5,PHI,ARI,1,1,100,6,0,6,6,6,0,0,0,0,0,1.60
95,13171,Aldrick Robinson,WR,5,SF,IND,1,1,100,5,0,5,5,5,0,0,0,0,0,1.50
96,18660,Maxwell McCaffrey,WR,5,JAX,PIT,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40
97,19514,Keelan Cole,WR,5,JAX,PIT,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40
98,14973,Markus Wheaton,WR,5,CHI,MIN,4,1,25,4,0,4,1,4,0,0,0,0,0,1.40
99,16906,Stefon Diggs,WR,5,MIN,CHI,4,1,25,4,0,4,1,4,0,0,0,0,0,1.40
100,18965,Ardarius Stewart,WR,5,NYJ,CLE,0,0,0,0,0,0,0,0,2,12,0,0,0,1.20
101,18103,Jakeem Grant,WR,5,MIA,TEN,2,1,50,-1,0,-1,-1,-1,0,0,0,0,0,0.90
102,18971,Taywan Taylor,WR,5,TEN,MIA,1,0,0,0,0,0,0,0,1,5,0,0,0,0.50
103,7651,Matthew Slater,WR,5,NE,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,16536,Bernard Reedy,WR,5,TB,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,16790,Phillip Dorsett,WR,5,NE,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8771,Darrius Heyward-Bey,WR,5,PIT,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,11501,Arrelious Benn,WR,5,JAX,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,16848,Sammie Coates,WR,5,CLE,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,19021,Chad Hansen,WR,5,NYJ,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,13117,Dwayne Harris,WR,5,NYG,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,16728,Dontrelle Inman,WR,5,LAC,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,17355,Quan Bray,WR,5,IND,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,19317,Victor Bolden Jr.,WR,5,SF,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,19403,Krishawn Hogan,WR,5,IND,SF,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,13264,Andre Holmes,WR,5,BUF,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,16944,Kaelin Clay,WR,5,BUF,CIN,1,0,0,0,0,0,0,0,1,0,0,0,0,0
117,18116,Cody Core,WR,5,CIN,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,3601,Eric Weems,WR,5,TEN,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,18014,Leonte Carroo,WR,5,MIA,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
