Rk,ID,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
63,13299,Jacquizz Rodgers,RB,6,TB,ARI,3,1,0,0,1,1,6,0,0,0,1.70
64,17217,Raheem Mostert,RB,6,SF,WAS,1,16,16,0,0,0,0,0,0,0,1.60
65,15010,Kerwynn Williams,RB,6,ARI,TB,3,14,5,0,0,0,0,0,0,0,1.40
66,18983,James Conner,RB,6,PIT,KC,2,14,7,0,0,0,0,0,0,0,1.40
67,18061,Deandre Washington,RB,6,OAK,LAC,3,-8,-3,0,1,1,10,0,0,0,1.20
68,16966,Aaron Ripkowski,FB,6,GB,MIN,0,0,0,0,1,1,0,0,0,0,1
69,12780,Shane Vereen,RB,6,NYG,DEN,1,4,4,0,0,0,0,0,0,0,0.40
70,17066,Terrell Watson,RB,6,PIT,KC,1,3,3,0,0,0,0,0,0,0,0.30
71,17199,Akeem Hunt,RB,6,KC,PIT,1,3,3,0,0,0,0,0,0,0,0.30
72,19548,Corey Clement,RB,6,PHI,CAR,2,2,1,0,0,0,0,0,0,0,0.20
73,16934,Cameron Artis-Payne,RB,6,CAR,PHI,0,0,0,0,0,0,0,0,0,0,0
74,19072,Alex Armah,RB,6,CAR,PHI,0,0,0,0,0,0,0,0,0,0,0
75,18652,CJ Ham,RB,6,MIN,GB,0,0,0,0,0,0,0,0,0,0,0
76,18995,Jamaal Williams,RB,6,GB,MIN,0,0,0,0,0,0,0,0,0,0,0
77,16189,Alfred Blue,RB,6,HOU,CLE,0,0,0,0,0,0,0,0,0,0,0
78,19078,Matt Dayes,RB,6,CLE,HOU,0,0,0,0,0,0,0,0,0,0,0
79,15555,Zach Line,FB,6,NO,DET,0,0,0,0,1,0,0,0,0,0,0
80,17023,Zach Zenner,RB,6,DET,NO,1,0,0,0,1,0,0,0,0,0,0
81,15631,Derrick Coleman,FB,6,ATL,MIA,0,0,0,0,0,0,0,0,0,0,0
