Rk,ID,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,18944,Kareem Hunt,RB,1,KC,NE,17,148,9,1,5,5,98,2,1,1,49.60
2,19003,Tarik Cohen,RB,1,CHI,ATL,5,66,13,0,12,8,47,1,0,0,25.30
3,18803,Leonard Fournette,RB,1,JAX,HOU,26,100,4,1,3,3,24,0,1,0,24.40
4,11932,LeSean McCoy,RB,1,BUF,NYJ,22,110,5,0,6,5,49,0,0,0,23.90
5,14872,Mike Gillislee,RB,1,NE,KC,15,45,3,3,0,0,0,0,0,0,22.50
6,17923,Ezekiel Elliott,RB,1,DAL,NYG,24,104,4,0,5,5,36,0,0,0,22
7,16771,Todd Gurley,RB,1,LAR,IND,19,40,2,1,6,5,56,0,1,0,20.60
8,18872,Dalvin Cook,RB,1,MIN,NO,22,127,6,0,5,3,10,0,0,0,19.70
9,16855,Ty Montgomery,RB,1,GB,SEA,19,54,3,1,4,4,39,0,0,0,19.30
10,16776,Melvin Gordon,RB,1,LAC,DEN,18,54,3,0,6,5,25,1,0,0,18.90
11,5451,Jonathan Stewart,RB,1,CAR,SF,18,65,4,0,2,2,17,1,0,0,16.20
12,18067,Jordan Howard,RB,1,CHI,ATL,13,52,4,1,5,3,14,0,0,0,15.60
13,15102,Chris Thompson,RB,1,WAS,PHI,3,4,1,0,5,4,52,1,0,0,15.60
14,15126,Theo Riddick,RB,1,DET,ARI,1,-1,-1,0,7,6,27,1,0,0,14.60
15,12780,Shane Vereen,RB,1,NYG,DAL,0,0,0,0,10,9,51,0,0,0,14.10
16,16142,Terrance West,RB,1,BAL,CIN,19,80,4,1,1,0,0,0,0,0,14
17,16847,David Johnson,RB,1,ARI,DET,11,23,2,0,9,6,67,0,2,1,14
18,16668,Carlos Hyde,RB,1,SF,CAR,9,45,5,0,6,6,32,0,0,0,13.70
19,18877,Christian McCaffrey,RB,1,CAR,SF,13,47,4,0,7,5,38,0,1,1,12.50
20,4738,Mike Tolbert,FB,1,BUF,NYJ,12,42,4,1,1,1,12,0,0,0,12.40
21,13337,Mark Ingram,RB,1,NO,MIN,6,17,3,0,5,5,54,0,0,0,12.10
22,16524,Devonta Freeman,RB,1,ATL,CHI,12,37,3,1,2,2,2,0,0,0,11.90
23,12296,LeGarrette Blount,RB,1,PHI,WAS,14,46,3,0,1,1,1,1,0,0,11.70
24,13791,Lamar Miller,RB,1,HOU,JAX,17,65,4,0,2,2,31,0,0,0,11.60
25,18998,Marlon Mack,RB,1,IND,LAR,10,24,2,1,1,1,21,0,1,0,11.50
26,16127,Isaiah Crowell,RB,1,CLE,PIT,17,33,2,0,2,2,33,0,0,0,10.60
27,12386,Marshawn Lynch,RB,1,OAK,TEN,18,76,4,0,2,1,16,0,0,0,10.20
28,15020,CJ Anderson,RB,1,DEN,LAC,20,81,4,0,3,1,7,0,0,0,9.80
29,16056,James White,RB,1,NE,KC,10,38,4,0,5,3,30,0,0,0,9.80
30,16834,Tevin Coleman,RB,1,ATL,CHI,8,16,2,0,6,4,42,0,0,0,9.80
31,16307,Charcandrick West,RB,1,KC,NE,1,21,21,1,1,1,4,0,0,0,9.50
32,6198,Darren Sproles,RB,1,PHI,WAS,2,2,1,0,8,5,43,0,0,0,9.50
33,14916,Giovani Bernard,RB,1,CIN,BAL,7,40,6,0,2,1,39,0,0,0,8.90
34,12800,Bilal Powell,RB,1,NYJ,BUF,7,22,3,0,6,5,17,0,0,0,8.90
35,15010,Kerwynn Williams,RB,1,ARI,DET,5,10,2,1,1,1,2,0,0,0,8.20
36,13124,DeMarco Murray,RB,1,TEN,OAK,12,44,4,0,2,2,16,0,0,0,8
37,18878,Alvin Kamara,RB,1,NO,MIN,7,18,3,0,6,4,20,0,0,0,7.80
38,14967,Le'Veon Bell,RB,1,PIT,CLE,10,32,3,0,6,3,15,0,0,0,7.70
39,17053,Malcolm Brown,RB,1,LAR,IND,7,16,2,1,0,0,0,0,0,0,7.60
40,16886,Javorius Allen,RB,1,BAL,CIN,21,71,3,0,1,0,0,0,0,0,7.10
41,14891,Tommy Bohanon,FB,1,JAX,HOU,1,0,0,0,1,1,1,1,0,0,7.10
42,16815,Ameer Abdullah,RB,1,DET,ARI,15,30,2,0,4,3,11,0,0,0,7.10
43,12317,Danny Woodhead,RB,1,BAL,CIN,1,4,4,0,3,3,33,0,0,0,6.70
44,16510,Jerick McKinnon,RB,1,MIN,NO,3,5,2,0,3,3,32,0,0,0,6.70
45,2699,Matt Forte,RB,1,NYJ,BUF,6,16,3,0,5,3,20,0,0,0,6.60
46,18041,Tyler Ervin,RB,1,HOU,JAX,3,8,3,0,5,4,18,0,0,0,6.60
47,12239,Chris Ivory,RB,1,JAX,HOU,9,42,5,0,2,1,11,0,0,0,6.30
48,5820,Frank Gore,RB,1,IND,LAR,10,42,4,0,1,1,10,0,0,0,6.20
49,19119,Chris Carson,RB,1,SEA,GB,6,39,7,0,1,1,10,0,0,0,5.90
50,15224,Andre Ellington,RB,1,ARI,DET,0,0,0,0,3,2,35,0,0,0,5.50
51,18858,Joe Mixon,RB,1,CIN,BAL,8,9,1,0,3,3,15,0,0,0,5.40
52,17972,Paul Perkins,RB,1,NYG,DAL,7,16,2,0,3,2,9,0,0,0,4.50
53,18061,Deandre Washington,RB,1,OAK,TEN,3,4,1,0,2,2,18,0,0,0,4.20
54,16838,Duke Johnson,RB,1,CLE,PIT,0,0,0,0,5,2,20,0,0,0,4
