Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,9331,Michael Crabtree,WR,2,OAK,NYJ,6,6,100,80,3,26,13,13,0,0,0,0,0,32
2,16919,JJ Nelson,WR,2,ARI,IND,7,5,71,120,1,45,17,24,0,0,0,0,0,26
3,11063,Emmanuel Sanders,WR,2,DEN,DAL,8,6,75,62,2,25,8,10,0,0,0,0,0,24.20
4,16470,Davante Adams,WR,2,GB,ATL,10,8,80,99,1,33,10,12,0,0,0,0,0,23.90
5,14749,Jermaine Kearse,WR,2,NYJ,OAK,5,4,80,64,2,34,13,16,0,0,0,0,0,22.40
6,16597,Mike Evans,WR,2,TB,CHI,9,7,78,93,1,18,10,13,0,0,0,0,0,22.30
7,14187,Alshon Jeffery,WR,2,PHI,KC,13,7,54,92,1,18,7,13,0,0,0,0,0,22.20
8,15076,Keenan Allen,WR,2,LAC,MIA,10,9,90,100,0,24,10,11,0,0,0,0,0,22
9,16253,Allen Hurns,WR,2,JAX,TEN,7,6,86,82,1,20,12,14,0,0,0,0,0,20.20
10,16020,Jarvis Landry,WR,2,MIA,LAC,15,13,87,78,0,18,5,6,1,-7,0,0,0,20.10
11,11270,Dez Bryant,WR,2,DAL,DEN,16,7,44,59,1,15,4,8,0,0,0,0,0,18.90
12,16146,Martavis Bryant,WR,2,PIT,MIN,4,3,75,91,1,51,23,30,1,7,0,0,0,18.80
13,14828,Chris Hogan,WR,2,NE,NO,6,5,83,78,1,27,13,16,0,0,0,0,0,18.80
14,13291,Julio Jones,WR,2,ATL,GB,9,5,56,108,0,34,12,22,0,0,0,0,0,18.80
15,16567,Brandon Coleman,WR,2,NO,NE,6,4,67,82,1,42,14,21,0,0,0,0,0,18.20
16,18089,Rashard Higgins,WR,2,CLE,BAL,11,7,64,95,0,35,9,14,1,4,0,0,0,16.90
17,13856,Deonte Thompson,WR,2,CHI,TB,5,4,80,57,1,20,11,14,0,0,0,0,0,15.70
18,16258,Marqise Lee,WR,2,JAX,TEN,12,7,58,76,0,19,6,11,0,0,0,0,0,14.60
19,14986,DeAndre Hopkins,WR,2,HOU,CIN,13,7,54,73,0,25,6,10,0,0,0,0,0,14.30
20,17960,Michael Thomas,WR,2,NO,NE,10,5,50,89,0,33,9,18,0,0,0,0,0,13.90
21,13957,Kendall Wright,WR,2,CHI,TB,10,7,70,69,0,18,7,10,0,0,0,0,0,13.90
22,16550,Kelvin Benjamin,WR,2,CAR,BUF,8,6,75,77,0,18,10,13,0,0,0,0,0,13.70
23,13878,Mohamed Sanu,WR,2,ATL,GB,6,5,83,85,0,24,14,17,0,0,0,0,0,13.50
24,15150,Cordarrelle Patterson,WR,2,OAK,NYJ,1,1,100,6,0,6,6,6,3,57,1,0,0,13.30
25,8914,Jeremy Maclin,WR,2,BAL,CLE,5,4,80,31,1,19,6,8,0,0,0,0,0,13.10
26,11197,Demaryius Thomas,WR,2,DEN,DAL,8,6,75,71,0,27,9,12,0,0,0,0,0,13.10
27,13227,Randall Cobb,WR,2,GB,ATL,9,6,67,60,0,18,7,10,1,10,0,0,0,13
28,16775,Devante Parker,WR,2,MIA,LAC,9,4,44,85,0,31,9,21,0,0,0,0,0,12.50
