Rk,ID,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,16771,Todd Gurley,RB,3,LAR,SF,28,113,4,2,7,5,36,1,1,0,40.90
2,18067,Jordan Howard,RB,3,CHI,PIT,23,140,6,2,5,5,26,0,1,1,35.60
3,15102,Chris Thompson,RB,3,WAS,OAK,8,38,5,0,7,6,150,1,0,0,33.80
4,18944,Kareem Hunt,RB,3,KC,LAC,17,172,10,1,1,1,11,0,0,0,28.30
5,18872,Dalvin Cook,RB,3,MIN,TB,27,97,4,1,5,5,72,0,0,0,27.90
6,16524,Devonta Freeman,RB,3,ATL,DET,21,106,5,1,3,3,32,0,0,0,25.80
7,16668,Carlos Hyde,RB,3,SF,LAR,25,84,3,2,4,3,10,0,0,0,24.40
8,18877,Christian McCaffrey,RB,3,CAR,NO,4,16,4,0,11,9,101,0,0,0,23.70
9,16838,Duke Johnson,RB,3,CLE,IND,2,23,12,1,7,6,81,0,0,0,22.40
10,13124,DeMarco Murray,RB,3,TEN,SEA,14,115,8,1,2,1,5,0,0,0,22
11,14967,Le'Veon Bell,RB,3,PIT,CHI,15,61,4,1,7,6,37,0,0,0,21.80
12,17923,Ezekiel Elliott,RB,3,DAL,ARI,22,80,4,1,4,3,14,0,0,0,18.40
13,18803,Leonard Fournette,RB,3,JAX,BAL,17,59,4,1,4,3,21,0,0,0,17
14,19003,Tarik Cohen,RB,3,CHI,PIT,12,78,7,0,4,4,24,0,1,0,14.20
15,16776,Melvin Gordon,RB,3,LAC,KC,17,79,5,1,2,0,0,0,0,0,13.90
16,11932,LeSean McCoy,RB,3,BUF,DEN,14,21,2,0,7,7,48,0,0,0,13.90
17,19119,Chris Carson,RB,3,SEA,TEN,11,34,3,0,2,2,18,1,0,0,13.20
18,18878,Alvin Kamara,RB,3,NO,CAR,2,37,19,1,5,3,5,0,0,0,13.20
19,18858,Joe Mixon,RB,3,CIN,GB,18,62,3,0,3,3,39,0,0,0,13.10
20,15224,Andre Ellington,RB,3,ARI,DAL,5,22,4,0,8,5,59,0,0,0,13.10
21,16855,Ty Montgomery,RB,3,GB,CIN,12,35,3,0,12,8,15,0,0,0,13
22,12296,LeGarrette Blount,RB,3,PHI,NYG,12,67,6,1,0,0,0,0,0,0,12.70
23,7969,Jamaal Charles,RB,3,DEN,BUF,9,56,6,1,1,1,1,0,0,0,12.70
24,5820,Frank Gore,RB,3,IND,CLE,25,57,2,1,1,1,0,0,0,0,12.70
25,14916,Giovani Bernard,RB,3,CIN,GB,3,27,9,0,2,2,12,1,0,0,11.90
26,16834,Tevin Coleman,RB,3,ATL,DET,6,46,8,0,5,3,43,0,0,0,11.90
27,16815,Ameer Abdullah,RB,3,DET,ATL,14,47,3,0,3,3,39,0,0,0,11.60
28,18957,D'Onta Foreman,RB,3,HOU,NE,8,25,3,0,3,2,65,0,0,0,11
29,13337,Mark Ingram,RB,3,NO,CAR,14,56,4,0,4,2,30,0,0,0,10.60
30,17965,CJ Prosise,RB,3,SEA,TEN,4,9,2,0,5,3,65,0,0,0,10.40
31,17197,Corey Grant,RB,3,JAX,BAL,6,75,13,0,1,1,18,0,0,0,10.30
32,12800,Bilal Powell,RB,3,NYJ,MIA,15,37,3,1,0,0,0,0,0,0,9.70
33,18070,Wendell Smallwood,RB,3,PHI,NYG,12,71,6,0,2,1,9,0,0,0,9
34,18088,Alex Collins,RB,3,BAL,JAX,9,82,9,0,0,0,0,0,0,0,8.20
35,19548,Corey Clement,RB,3,PHI,NYG,6,22,4,1,0,0,0,0,0,0,8.20
36,15126,Theo Riddick,RB,3,DET,ATL,0,0,0,0,9,4,38,0,0,0,7.80
37,16886,Javorius Allen,RB,3,BAL,JAX,8,15,2,0,6,5,13,0,0,0,7.80
38,17959,Derrick Henry,RB,3,TEN,SEA,13,54,4,0,1,1,10,0,0,0,7.40
39,16127,Isaiah Crowell,RB,3,CLE,IND,12,44,4,0,3,2,10,0,0,0,7.40
40,16345,Branden Oliver,RB,3,LAC,KC,8,16,2,0,6,4,18,0,0,0,7.40
41,18061,Deandre Washington,RB,3,OAK,WAS,1,0,0,0,6,5,24,0,0,0,7.40
42,13791,Lamar Miller,RB,3,HOU,NE,14,56,4,0,1,1,7,0,0,0,7.30
43,5451,Jonathan Stewart,RB,3,CAR,NO,12,57,5,0,2,1,4,0,0,0,7.10
44,15020,CJ Anderson,RB,3,DEN,BUF,8,36,5,0,2,2,7,0,0,0,6.30
45,12239,Chris Ivory,RB,3,JAX,BAL,6,17,3,0,2,2,25,0,0,0,6.20
46,19319,Matt Breida,RB,3,SF,LAR,3,9,3,0,4,3,20,0,0,0,5.90
47,4807,Adrian Peterson,RB,3,NO,CAR,9,33,4,0,2,2,4,0,0,0,5.70
48,18993,Samaje Perine,RB,3,WAS,OAK,19,49,3,0,1,1,6,0,1,1,5.50
49,15207,Benjamin Cunningham,RB,3,CHI,PIT,0,0,0,0,3,3,23,0,0,0,5.30
50,17972,Paul Perkins,RB,3,NYG,PHI,9,22,2,0,2,2,8,0,0,0,5
51,12708,Dion Lewis,RB,3,NE,HOU,2,5,3,0,3,3,12,0,0,0,4.70
52,16909,Jay Ajayi,RB,3,MIA,NYJ,11,16,2,0,3,2,9,0,0,0,4.50
53,14901,Kyle Juszczyk,FB,3,SF,LAR,0,0,0,0,1,1,34,0,0,0,4.40
54,16008,Orleans Darkwa,RB,3,NYG,PHI,7,22,3,0,1,1,11,0,0,0,4.30
55,12780,Shane Vereen,RB,3,NYG,PHI,1,5,5,0,2,2,18,0,0,0,4.30
56,4738,Mike Tolbert,FB,3,BUF,DEN,11,41,4,0,1,0,0,0,0,0,4.10
57,16112,Jeremy Hill,RB,3,CIN,GB,7,23,3,0,1,1,6,0,0,0,3.90
58,16056,James White,RB,3,NE,HOU,5,17,3,0,1,1,11,0,0,0,3.80
59,12386,Marshawn Lynch,RB,3,OAK,WAS,6,18,3,0,1,1,8,0,0,0,3.60
60,16307,Charcandrick West,RB,3,KC,LAC,2,-1,-1,0,2,2,14,0,1,0,3.30
61,14872,Mike Gillislee,RB,3,NE,HOU,12,31,3,0,0,0,0,0,0,0,3.10
62,6828,Chris Johnson,RB,3,ARI,DAL,12,17,1,0,2,1,4,0,0,0,3.10
63,14533,Robert Turbin,RB,3,IND,CLE,5,18,4,0,2,1,2,0,0,0,3
64,17102,Mack Brown,RB,3,WAS,OAK,6,27,5,0,0,0,0,0,0,0,2.70
65,2699,Matt Forte,RB,3,NYJ,MIA,8,25,3,0,0,0,0,0,0,0,2.50
66,19109,Elijah McGuire,RB,3,NYJ,MIA,7,34,5,0,0,0,0,0,1,1,2.40
67,16510,Jerick McKinnon,RB,3,MIN,TB,2,5,3,0,2,2,-1,0,0,0,2.40
68,16609,Charles Sims,RB,3,TB,MIN,2,4,2,0,1,1,9,0,0,0,2.30
69,18652,CJ Ham,RB,3,MIN,TB,0,0,0,0,1,1,12,0,0,0,2.20
70,16031,Damien Williams,RB,3,MIA,NYJ,2,5,3,0,1,1,6,0,0,0,2.10
71,13418,Anthony Sherman,FB,3,KC,LAC,0,0,0,0,1,1,11,0,0,0,2.10
72,18690,Jalen Richard,RB,3,OAK,WAS,2,4,2,0,1,1,4,0,0,0,1.80
73,18041,Tyler Ervin,RB,3,HOU,NE,1,4,4,0,1,1,4,0,0,0,1.80
74,14891,Tommy Bohanon,FB,3,JAX,BAL,0,0,0,0,3,1,8,0,0,0,1.80
75,16142,Terrance West,RB,3,BAL,JAX,6,26,4,0,1,0,0,0,1,1,1.60
76,19562,Austin Ekeler,RB,3,LAC,KC,0,0,0,0,1,1,6,0,0,0,1.60
77,13299,Jacquizz Rodgers,RB,3,TB,MIN,5,15,3,0,0,0,0,0,0,0,1.50
78,18376,Alan Cross,FB,3,TB,MIN,0,0,0,0,1,1,5,0,0,0,1.50
79,15616,Fozzy Whittaker,RB,3,CAR,NO,2,12,6,0,0,0,0,0,0,0,1.20
80,18003,Kenyan Drake,RB,3,MIA,NYJ,1,0,0,0,2,1,2,0,0,0,1.20
81,6198,Darren Sproles,RB,3,PHI,NYG,3,11,4,0,0,0,0,0,0,0,1.10
82,18995,Jamaal Williams,RB,3,GB,CIN,1,6,6,0,0,0,0,0,0,0,0.60
83,15071,Latavius Murray,RB,3,MIN,TB,2,5,3,0,0,0,0,0,0,0,0.50
84,17023,Zach Zenner,RB,3,DET,ATL,3,5,2,0,0,0,0,0,0,0,0.50
85,17066,Terrell Watson,RB,3,PIT,CHI,1,3,3,0,0,0,0,0,0,0,0.30
86,15010,Kerwynn Williams,RB,3,ARI,DAL,1,3,3,0,0,0,0,0,0,0,0.30
87,16856,Matt Jones,RB,3,IND,CLE,1,3,3,0,0,0,0,0,0,0,0.30
88,18093,Andy Janovich,FB,3,DEN,BUF,1,2,2,0,0,0,0,0,0,0,0.20
89,19085,De'Angelo Henderson,RB,3,DEN,BUF,1,1,1,0,0,0,0,0,0,0,0.10
90,17217,Raheem Mostert,RB,3,SF,LAR,4,11,3,0,0,0,0,0,1,1,0.10
91,18114,Dan Vitale,FB,3,CLE,IND,0,0,0,0,0,0,0,0,0,0,0
92,19078,Matt Dayes,RB,3,CLE,IND,0,0,0,0,0,0,0,0,0,0,0
