Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,14986,DeAndre Hopkins,WR,4,HOU,TEN,12,10,83,107,1,21,9,11,0,0,0,0,0,29.70
2,16802,Devin Funchess,WR,4,CAR,NE,9,7,78,70,2,16,8,10,0,0,0,0,0,26
3,17048,Tyrell Williams,WR,4,LAC,PHI,6,5,83,115,1,75,19,23,0,0,0,0,0,25.50
4,4556,Jordy Nelson,WR,4,GB,CHI,7,4,57,75,2,58,11,19,0,0,0,0,0,23.50
5,17960,Michael Thomas,WR,4,NO,MIA,11,8,73,89,1,30,8,11,0,0,0,0,0,22.90
6,15076,Keenan Allen,WR,4,LAC,PHI,11,5,46,138,0,50,13,28,0,0,0,0,0,21.80
7,15509,Jaron Brown,WR,4,ARI,SF,12,8,67,105,0,32,9,13,0,0,0,0,0,21.50
8,17916,Will Fuller,WR,4,HOU,TEN,6,4,67,35,2,16,6,9,1,4,0,0,0,19.90
9,16597,Mike Evans,WR,4,TB,NYG,11,5,46,67,1,31,6,13,0,0,0,0,0,17.70
10,8529,Mike Wallace,WR,4,BAL,PIT,10,6,60,55,1,16,6,9,0,0,0,0,0,17.50
11,16550,Kelvin Benjamin,WR,4,CAR,NE,4,4,100,104,0,43,26,26,0,0,0,0,0,17.40
12,12845,AJ Green,WR,4,CIN,CLE,7,5,71,63,1,25,9,13,0,0,0,0,0,17.30
13,14828,Chris Hogan,WR,4,NE,CAR,9,5,56,60,1,26,7,12,0,0,0,0,0,17
14,18882,Cooper Kupp,WR,4,LAR,DAL,7,5,71,60,1,24,9,12,0,0,0,0,0,17
15,9906,Danny Amendola,WR,4,NE,CAR,7,6,86,42,1,16,6,7,0,0,0,0,0,16.20
16,13693,Terrelle Pryor,WR,4,WAS,KC,5,3,60,70,1,44,14,23,0,0,0,0,0,16
17,16389,Odell Beckham Jr,WR,4,NYG,TB,15,7,47,90,0,42,6,13,0,0,0,0,0,16
18,13957,Kendall Wright,WR,4,CHI,GB,4,4,100,51,1,22,13,13,0,0,0,0,0,15.10
19,16906,Stefon Diggs,WR,4,MIN,DET,7,5,71,98,0,33,14,20,0,0,0,0,0,14.80
20,11270,Dez Bryant,WR,4,DAL,LAR,13,5,39,98,0,36,8,20,0,0,0,0,0,14.80
21,13227,Randall Cobb,WR,4,GB,CHI,4,4,100,44,1,26,11,11,0,0,0,0,0,14.40
22,18883,Juju Smith-Schuster,WR,4,PIT,BAL,4,3,75,47,1,19,12,16,0,0,0,0,0,13.70
23,18241,Johnny Holton,WR,4,OAK,DEN,1,1,100,64,1,64,64,64,0,0,0,0,0,13.40
24,5571,Larry Fitzgerald,WR,4,ARI,SF,7,4,57,32,1,19,5,8,0,0,0,0,0,13.20
25,16830,Tyler Lockett,WR,4,SEA,IND,5,4,80,67,0,41,13,17,2,24,0,0,0,13.10
26,17290,Adam Humphries,WR,4,TB,NYG,7,6,86,70,0,38,10,12,0,0,0,0,0,13
27,16775,Devante Parker,WR,4,MIA,NO,8,6,75,69,0,21,9,12,0,0,0,0,0,12.90
28,16232,Donte Moncrief,WR,4,IND,SEA,3,3,100,30,1,18,10,10,0,0,0,0,0,12
29,14187,Alshon Jeffery,WR,4,PHI,LAC,6,3,50,29,1,13,5,10,0,0,0,0,0,11.90
30,18036,Ricardo Louis,WR,4,CLE,CIN,9,5,56,64,0,31,7,13,0,0,0,0,0,11.40
31,16308,Albert Wilson,WR,4,KC,WAS,4,4,100,63,0,37,16,16,1,6,0,0,0,10.90
32,11667,Brandon Marshall,WR,4,NYG,TB,10,6,60,46,0,11,5,8,0,0,0,0,0,10.60
33,17961,Sterling Shepard,WR,4,NYG,TB,5,5,100,54,0,19,11,11,0,0,0,0,0,10.40
34,16020,Jarvis Landry,WR,4,MIA,NO,7,6,86,40,0,11,6,7,0,0,0,0,0,10
35,15534,Adam Thielen,WR,4,MIN,DET,8,5,63,59,0,24,7,12,0,0,0,1,1,9.90
36,19064,Trent Taylor,WR,4,SF,ARI,10,5,50,47,0,12,5,9,0,0,0,0,0,9.70
37,16411,Ryan Grant,WR,4,WAS,KC,3,2,67,16,1,13,5,8,0,0,0,0,0,9.60
38,16694,Paul Richardson,WR,4,SEA,IND,3,3,100,65,0,37,22,22,0,0,0,0,0,9.50
39,15150,Cordarrelle Patterson,WR,4,OAK,DEN,6,6,100,33,0,11,6,6,1,2,0,0,0,9.50
40,13856,Deonte Thompson,WR,4,CHI,GB,9,5,56,44,0,15,5,9,0,0,0,0,0,9.40
41,16470,Davante Adams,WR,4,GB,CHI,5,2,40,13,1,8,3,7,0,0,0,0,0,9.30
42,15066,Brice Butler,WR,4,DAL,LAR,2,2,100,12,1,10,6,6,0,0,0,0,0,9.20
43,16868,Justin Hardy,WR,4,ATL,BUF,6,2,33,12,1,9,2,6,0,0,0,0,0,9.20
44,15974,Jordan Matthews,WR,4,BUF,ATL,2,2,100,10,1,9,5,5,0,0,0,0,0,9
45,18187,Robby Anderson,WR,4,NYJ,JAX,6,3,50,59,0,41,10,20,0,0,0,0,0,8.90
46,16326,Seth Roberts,WR,4,OAK,DEN,5,4,80,49,0,22,10,12,0,0,0,0,0,8.90
47,16781,Nelson Agholor,WR,4,PHI,LAC,4,3,75,58,0,36,15,19,0,0,0,0,0,8.80
48,16664,Bruce Ellington,WR,4,HOU,TEN,4,3,75,44,0,35,11,15,1,13,0,0,0,8.70
49,12794,Jeremy Kerley,WR,4,NYJ,JAX,5,5,100,37,0,12,7,7,0,0,0,0,0,8.70
50,13460,Doug Baldwin,WR,4,SEA,IND,3,3,100,35,0,27,12,12,0,0,0,0,0,8.50
51,18082,Tyreek Hill,WR,4,KC,WAS,6,5,83,35,0,12,6,7,0,0,0,1,0,8.50
52,16456,TJ Jones,WR,4,DET,MIN,5,3,60,33,0,16,7,11,0,0,0,0,0,8.30
53,8532,Kenny Britt,WR,4,CLE,CIN,8,3,38,52,0,26,7,17,0,0,0,0,0,8.20
54,13171,Aldrick Robinson,WR,4,SF,ARI,12,3,25,52,0,24,4,17,0,0,0,0,0,8.20
55,16253,Allen Hurns,WR,4,JAX,NYJ,10,4,40,42,0,15,4,11,0,0,0,0,0,8.20
56,13788,Rishard Matthews,WR,4,TEN,HOU,8,3,38,49,0,28,6,16,0,0,0,0,0,7.90
57,16146,Martavis Bryant,WR,4,PIT,BAL,5,3,60,48,0,24,10,16,0,0,0,0,0,7.80
58,16640,John Brown,WR,4,ARI,SF,7,3,43,47,0,18,7,16,0,0,0,0,0,7.70
59,6767,Pierre Garcon,WR,4,SF,ARI,8,4,50,36,0,16,5,9,0,0,0,0,0,7.60
60,11056,Antonio Brown,WR,4,PIT,BAL,9,4,44,34,0,14,4,9,0,0,0,0,0,7.40
61,15088,Terrance Williams,WR,4,DAL,LAR,6,4,67,34,0,13,6,9,0,0,0,0,0,7.40
62,16568,Brandin Cooks,WR,4,NE,CAR,6,3,50,38,0,17,6,13,1,4,0,0,0,7.20
63,11063,Emmanuel Sanders,WR,4,DEN,OAK,5,4,80,27,0,15,5,7,0,0,0,0,0,6.70
64,14795,Josh Bellamy,WR,4,CHI,GB,6,3,50,36,0,15,6,12,0,0,0,0,0,6.60
65,16081,Michael Campanaro,WR,4,BAL,PIT,6,4,67,25,0,11,4,6,0,0,0,1,0,6.50
66,16919,JJ Nelson,WR,4,ARI,SF,4,3,75,34,0,17,9,11,0,0,0,0,0,6.40
67,13870,Marvin Jones,WR,4,DET,MIN,5,2,40,42,0,38,8,21,0,0,0,0,0,6.20
68,11611,Golden Tate,WR,4,DET,MIN,5,3,60,29,0,12,6,10,1,2,0,0,0,6.10
69,13291,Julio Jones,WR,4,ATL,BUF,4,3,75,30,0,16,8,10,0,0,0,0,0,6
70,15268,Nick Williams,WR,4,ATL,BUF,4,3,75,30,0,14,8,10,0,0,0,0,0,6
71,14005,TY Hilton,WR,4,IND,SEA,6,3,50,30,0,13,5,10,0,0,0,0,0,6
72,14749,Jermaine Kearse,WR,4,NYJ,JAX,7,4,57,17,0,10,2,4,0,0,0,0,0,5.70
73,15215,Tavon Austin,WR,4,LAR,DAL,2,1,50,-2,0,-2,-1,-2,6,48,0,0,0,5.60
74,16276,Bennie Fowler,WR,4,DEN,OAK,2,2,100,35,0,18,18,18,0,0,0,0,0,5.50
75,12109,Ted Ginn,WR,4,NO,MIA,2,2,100,25,0,21,13,13,1,9,0,0,0,5.40
76,16837,Chris Conley,WR,4,KC,WAS,4,2,50,31,0,21,8,16,0,0,0,0,0,5.10
77,8914,Jeremy Maclin,WR,4,BAL,PIT,6,3,50,21,0,11,4,7,0,0,0,0,0,5.10
78,17939,Josh Doctson,WR,4,WAS,KC,3,2,67,27,0,20,9,14,0,0,0,0,0,4.70
