Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,11056,Antonio Brown,WR,1,PIT,CLE,11,11,100,182,0,50,17,17,0,0,0,1,0,32.20
2,18082,Tyreek Hill,WR,1,KC,NE,8,7,88,133,1,75,17,19,2,5,0,1,0,29.80
3,16906,Stefon Diggs,WR,1,MIN,NO,8,7,88,93,2,30,12,13,1,-6,0,0,0,27.70
4,15534,Adam Thielen,WR,1,MIN,NO,10,9,90,157,0,44,16,17,0,0,0,0,0,27.70
5,11611,Golden Tate,WR,1,DET,ARI,12,10,83,107,0,19,9,11,2,7,0,0,0,24.40
6,18977,Kenny Golladay,WR,1,DET,ARI,7,4,57,69,2,45,10,17,0,0,0,0,0,22.90
7,4556,Jordy Nelson,WR,1,GB,SEA,8,7,88,79,1,32,10,11,0,0,0,0,0,20.90
8,16781,Nelson Agholor,WR,1,PHI,WAS,8,6,75,86,1,58,11,14,0,0,0,0,0,20.60
9,9906,Danny Amendola,WR,1,NE,KC,7,6,86,100,0,27,14,17,0,0,0,1,0,19
10,14986,DeAndre Hopkins,WR,1,HOU,JAX,16,7,44,55,1,12,3,8,0,0,0,0,0,18.50
11,18882,Cooper Kupp,WR,1,LAR,IND,6,4,67,76,1,28,13,19,0,0,0,0,0,17.60
12,13227,Randall Cobb,WR,1,GB,SEA,13,9,69,85,0,29,7,9,0,0,0,0,0,17.50
13,16765,Amari Cooper,WR,1,OAK,TEN,13,5,39,62,1,23,5,12,0,0,0,1,0,17.20
14,16276,Bennie Fowler,WR,1,DEN,LAC,4,3,75,21,2,10,5,7,0,0,0,0,0,17.10
15,17938,Corey Coleman,WR,1,CLE,PIT,6,5,83,53,1,23,9,11,0,0,0,0,0,16.30
16,16919,JJ Nelson,WR,1,ARI,DET,6,5,83,43,1,14,7,9,0,0,0,0,0,15.30
17,15076,Keenan Allen,WR,1,LAC,DEN,10,5,50,35,1,9,4,7,0,0,0,0,0,14.50
18,9331,Michael Crabtree,WR,1,OAK,TEN,7,6,86,83,0,25,12,14,0,0,0,0,0,14.30
19,6767,Pierre Garcon,WR,1,SF,CAR,10,6,60,81,0,22,8,14,0,0,0,0,0,14.10
20,8914,Jeremy Maclin,WR,1,BAL,CIN,4,2,50,56,1,48,14,28,0,0,0,0,0,13.60
21,5571,Larry Fitzgerald,WR,1,ARI,DET,13,6,46,74,0,33,6,12,0,0,0,0,0,13.40
22,14850,Russell Shepard,WR,1,CAR,SF,2,2,100,53,1,40,27,27,0,0,0,0,0,13.30
23,13887,Travis Benjamin,WR,1,LAC,DEN,4,3,75,43,1,38,11,14,0,0,0,0,0,13.30
24,18879,Corey Davis,WR,1,TEN,OAK,10,6,60,69,0,23,7,12,0,0,0,0,0,12.90
25,14749,Jermaine Kearse,WR,1,NYJ,BUF,9,7,78,59,0,18,7,8,0,0,0,0,0,12.90
26,15088,Terrance Williams,WR,1,DAL,NYG,7,6,86,68,0,23,10,11,0,0,0,0,0,12.80
27,13693,Terrelle Pryor,WR,1,WAS,PHI,11,6,55,66,0,28,6,11,0,0,0,0,0,12.60
28,12845,AJ Green,WR,1,CIN,BAL,10,5,50,74,0,27,7,15,0,0,0,0,0,12.40
29,13788,Rishard Matthews,WR,1,TEN,OAK,9,5,56,71,0,24,8,14,0,0,0,0,0,12.10
30,17961,Sterling Shepard,WR,1,NYG,DAL,8,7,88,44,0,12,6,6,1,6,0,1,0,12
31,16568,Brandin Cooks,WR,1,NE,KC,7,3,43,88,0,54,13,29,0,0,0,0,0,11.80
32,13870,Marvin Jones,WR,1,DET,ARI,2,2,100,37,1,31,19,19,0,0,0,0,0,11.70
33,11197,Demaryius Thomas,WR,1,DEN,LAC,8,5,63,67,0,29,8,13,0,0,0,0,0,11.70
34,16003,Sammy Watkins,WR,1,LAR,IND,5,5,100,58,0,24,12,12,0,0,0,0,0,10.80
35,13878,Mohamed Sanu,WR,1,ATL,CHI,9,6,67,47,0,15,5,8,0,0,0,0,0,10.70
36,13291,Julio Jones,WR,1,ATL,CHI,5,4,80,66,0,25,13,17,0,0,0,0,0,10.60
37,17048,Tyrell Williams,WR,1,LAC,DEN,7,5,71,54,0,14,8,11,0,0,0,0,0,10.40
38,16411,Ryan Grant,WR,1,WAS,PHI,6,4,67,61,0,34,10,15,0,0,0,0,0,10.10
39,13460,Doug Baldwin,WR,1,SEA,GB,4,4,100,63,0,34,16,16,1,-3,0,0,0,10
40,16694,Paul Richardson,WR,1,SEA,GB,7,4,57,59,0,28,8,15,0,0,0,0,0,9.90
41,12109,Ted Ginn,WR,1,NO,MIN,5,4,80,53,0,27,11,13,1,5,0,0,0,9.80
42,17960,Michael Thomas,WR,1,NO,MIN,8,5,63,45,0,14,6,9,0,0,0,0,0,9.50
43,18285,Roger Lewis,WR,1,NYG,DAL,6,4,67,54,0,22,9,14,0,0,0,0,0,9.40
44,16326,Seth Roberts,WR,1,OAK,TEN,1,1,100,19,1,19,19,19,0,0,0,0,0,8.90
45,14187,Alshon Jeffery,WR,1,PHI,WAS,7,3,43,38,0,24,5,13,0,0,0,0,0,8.80
46,16308,Albert Wilson,WR,1,KC,NE,5,5,100,37,0,13,7,7,0,0,0,0,0,8.70
47,14871,Robert Woods,WR,1,LAR,IND,5,3,60,53,0,27,11,18,0,0,0,0,0,8.30
48,16640,John Brown,WR,1,ARI,DET,9,4,44,32,0,12,4,8,1,10,0,0,0,8.20
49,15974,Jordan Matthews,WR,1,BUF,NYJ,3,2,67,61,0,47,20,31,0,0,0,0,0,8.10
50,16470,Davante Adams,WR,1,GB,SEA,7,3,43,47,0,21,7,16,0,0,0,0,0,7.70
51,14005,TY Hilton,WR,1,IND,LAR,7,3,43,57,0,32,8,19,0,0,0,1,1,7.70
52,18401,Tommylee Lewis,WR,1,NO,MIN,3,2,67,52,0,52,17,26,0,0,0,0,0,7.20
53,16253,Allen Hurns,WR,1,JAX,HOU,4,3,75,42,0,20,11,14,0,0,0,0,0,7.20
54,13264,Andre Holmes,WR,1,BUF,NYJ,1,1,100,1,1,1,1,1,0,0,0,0,0,7.10
55,16129,Taylor Gabriel,WR,1,ATL,CHI,4,3,75,36,0,18,9,12,0,0,0,0,0,6.60
56,13957,Kendall Wright,WR,1,CHI,ATL,4,3,75,34,0,16,9,11,0,0,0,0,0,6.40
57,11270,Dez Bryant,WR,1,DAL,NYG,9,2,22,43,0,35,5,22,0,0,0,0,0,6.30
58,16837,Chris Conley,WR,1,KC,NE,4,2,50,43,0,25,11,22,0,0,0,0,0,6.30
59,14141,Cole Beasley,WR,1,DAL,NYG,5,3,60,32,0,13,6,11,0,0,0,0,0,6.20
60,18187,Robby Anderson,WR,1,NYJ,BUF,8,4,50,22,0,11,3,6,0,0,0,0,0,6.20
61,16232,Donte Moncrief,WR,1,IND,LAR,4,1,25,50,0,50,13,50,0,0,0,0,0,6
62,14795,Josh Bellamy,WR,1,CHI,ATL,4,3,75,27,0,14,7,9,0,0,0,0,0,5.70
63,11063,Emmanuel Sanders,WR,1,DEN,LAC,6,3,50,26,0,20,4,9,0,0,0,0,0,5.60
64,11463,Brandon LaFell,WR,1,CIN,BAL,5,3,60,24,0,13,5,8,0,0,0,0,0,5.40
65,16456,TJ Jones,WR,1,DET,ARI,4,2,50,32,0,16,8,16,0,0,0,0,0,5.20
66,18036,Ricardo Louis,WR,1,CLE,PIT,3,2,67,32,0,29,11,16,0,0,0,0,0,5.20
67,14865,Marquise Goodwin,WR,1,SF,CAR,6,3,50,21,0,14,4,7,0,0,0,0,0,5.10
68,15066,Brice Butler,WR,1,DAL,NYG,3,1,33,30,0,30,10,30,0,0,0,0,0,4
69,12830,Torrey Smith,WR,1,PHI,WAS,3,1,33,30,0,30,10,30,0,0,0,0,0,4
70,16802,Devin Funchess,WR,1,CAR,SF,2,2,100,20,0,16,10,10,0,0,0,0,0,4
71,11182,Eric Decker,WR,1,TEN,OAK,8,3,38,10,0,8,1,3,0,0,0,0,0,4
72,14828,Chris Hogan,WR,1,NE,KC,5,1,20,8,0,8,2,8,3,17,0,0,0,3.50
73,16550,Kelvin Benjamin,WR,1,CAR,SF,5,1,20,25,0,25,5,25,0,0,0,0,0,3.50
74,18971,Taywan Taylor,WR,1,TEN,OAK,2,2,100,14,0,10,7,7,0,0,0,0,0,3.40
75,16146,Martavis Bryant,WR,1,PIT,CLE,6,2,33,14,0,14,2,7,0,0,0,0,0,3.40
76,16866,Jamison Crowder,WR,1,WAS,PHI,7,3,43,14,0,7,2,5,0,0,0,1,1,3.40
77,16567,Brandon Coleman,WR,1,NO,MIN,3,2,67,13,0,9,4,7,0,0,0,0,0,3.30
78,18926,Zay Jones,WR,1,BUF,NYJ,4,1,25,21,0,21,5,21,0,0,0,0,0,3.10
79,14465,Jarius Wright,WR,1,MIN,NO,2,1,50,21,0,21,11,21,0,0,0,0,0,3.10
80,17480,Eli Rogers,WR,1,PIT,CLE,4,2,50,11,0,9,3,6,0,0,0,0,0,3.10
81,18965,Ardarius Stewart,WR,1,NYJ,BUF,5,2,40,10,0,8,2,5,0,0,0,0,0,3
