Rk,ID,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,15020,CJ Anderson,RB,2,DEN,DAL,25,118,5,1,3,3,36,1,0,0,33.40
2,16855,Ty Montgomery,RB,2,GB,ATL,10,35,4,1,7,6,75,1,0,0,29
3,16771,Todd Gurley,RB,2,LAR,WAS,16,88,6,1,4,3,48,1,2,1,27.60
4,18944,Kareem Hunt,RB,2,KC,PHI,13,81,6,2,3,3,28,0,0,0,25.90
5,15102,Chris Thompson,RB,2,WAS,LAR,3,77,26,2,7,3,29,0,0,0,25.60
6,16524,Devonta Freeman,RB,2,ATL,GB,19,84,4,2,2,2,16,0,0,0,24
7,16886,Javorius Allen,RB,2,BAL,CLE,14,66,5,0,6,5,35,1,0,0,21.10
8,16776,Melvin Gordon,RB,2,LAC,MIA,9,13,1,1,8,7,65,0,0,0,20.80
9,16668,Carlos Hyde,RB,2,SF,SEA,15,124,8,0,6,3,19,0,0,0,20.30
10,18690,Jalen Richard,RB,2,OAK,NYJ,6,58,10,1,2,2,51,0,0,0,18.90
11,16909,Jay Ajayi,RB,2,MIA,LAC,28,122,4,0,2,2,4,0,0,0,17.60
12,16056,James White,RB,2,NE,NO,2,11,6,0,8,8,85,0,0,0,17.60
13,17959,Derrick Henry,RB,2,TEN,JAX,14,92,7,1,0,0,0,0,0,0,15.20
14,18803,Leonard Fournette,RB,2,JAX,TEN,14,40,3,1,5,2,21,0,0,0,14.10
15,19003,Tarik Cohen,RB,2,CHI,TB,7,13,2,0,9,8,55,0,1,1,13.80
16,14917,Rex Burkhead,RB,2,NE,NO,2,3,2,0,4,3,41,1,0,0,13.40
17,14967,Le'Veon Bell,RB,2,PIT,MIN,27,87,3,0,4,4,4,0,0,0,13.10
18,14872,Mike Gillislee,RB,2,NE,NO,18,69,4,1,0,0,0,0,0,0,12.90
19,13299,Jacquizz Rodgers,RB,2,TB,CHI,19,67,4,1,0,0,0,0,0,0,12.70
20,16142,Terrance West,RB,2,BAL,CLE,8,22,3,1,2,2,23,0,0,0,12.50
21,16834,Tevin Coleman,RB,2,ATL,GB,6,42,7,0,2,2,3,1,0,0,12.50
22,2699,Matt Forte,RB,2,NYJ,OAK,9,53,6,0,3,3,38,0,0,0,12.10
23,12386,Marshawn Lynch,RB,2,OAK,NYJ,12,45,4,1,2,1,4,0,0,0,11.90
24,13791,Lamar Miller,RB,2,HOU,CIN,18,61,3,0,3,3,26,0,0,0,11.70
25,13337,Mark Ingram,RB,2,NO,NE,8,52,7,0,5,4,24,0,0,0,11.60
26,19119,Chris Carson,RB,2,SEA,SF,20,93,5,0,2,1,7,0,0,0,11
27,16838,Duke Johnson,RB,2,CLE,BAL,4,21,5,0,6,3,59,0,0,0,11
28,5820,Frank Gore,RB,2,IND,ARI,14,46,3,1,2,0,0,0,0,0,10.60
29,11932,LeSean McCoy,RB,2,BUF,CAR,12,9,1,0,7,6,34,0,0,0,10.30
30,6198,Darren Sproles,RB,2,PHI,KC,10,48,5,0,4,2,30,0,1,1,8.80
31,16815,Ameer Abdullah,RB,2,DET,NYG,17,86,5,0,0,0,0,0,0,0,8.60
32,12780,Shane Vereen,RB,2,NYG,DET,6,28,5,0,3,3,27,0,0,0,8.50
33,18872,Dalvin Cook,RB,2,MIN,PIT,12,64,5,0,3,2,0,0,0,0,8.40
34,18878,Alvin Kamara,RB,2,NO,NE,1,3,3,0,7,3,51,0,0,0,8.40
35,18877,Christian McCaffrey,RB,2,CAR,BUF,8,10,1,0,5,4,34,0,0,0,8.40
36,18451,Rob Kelley,RB,2,WAS,LAR,12,78,7,0,0,0,0,0,0,0,7.80
37,12239,Chris Ivory,RB,2,JAX,TEN,6,17,3,0,4,3,31,0,0,0,7.80
38,18993,Samaje Perine,RB,2,WAS,LAR,21,67,3,0,1,1,0,0,0,0,7.70
39,15126,Theo Riddick,RB,2,DET,NYG,9,20,2,0,3,3,17,0,0,0,6.70
40,18061,Deandre Washington,RB,2,OAK,NYJ,6,20,3,0,3,3,15,0,1,0,6.50
41,16869,Jalston Fowler,RB,2,TEN,JAX,1,3,3,1,0,0,0,0,0,0,6.30
42,7969,Jamaal Charles,RB,2,DEN,DAL,9,46,5,0,1,1,6,0,0,0,6.20
43,17923,Ezekiel Elliott,RB,2,DAL,DEN,9,8,1,0,5,4,14,0,0,0,6.20
44,18652,CJ Ham,RB,2,MIN,PIT,1,1,1,1,0,0,0,0,0,0,6.10
45,16510,Jerick McKinnon,RB,2,MIN,PIT,3,16,5,0,5,3,9,0,0,0,5.50
46,15224,Andre Ellington,RB,2,ARI,IND,2,11,6,0,5,3,12,0,0,0,5.30
47,17965,CJ Prosise,RB,2,SEA,SF,0,0,0,0,6,3,22,0,0,0,5.20
48,18858,Joe Mixon,RB,2,CIN,HOU,9,36,4,0,1,1,5,0,0,0,5.10
49,19319,Matt Breida,RB,2,SF,SEA,4,35,9,0,2,1,3,0,0,0,4.80
50,18375,Peyton Barber,RB,2,TB,CHI,10,47,5,0,0,0,0,0,0,0,4.70
51,19109,Elijah McGuire,RB,2,NYJ,OAK,6,29,5,0,2,1,7,0,0,0,4.60
52,14916,Giovani Bernard,RB,2,CIN,HOU,5,10,2,0,4,2,16,0,0,0,4.60
53,18041,Tyler Ervin,RB,2,HOU,CIN,0,0,0,0,5,3,16,0,0,0,4.60
54,6828,Chris Johnson,RB,2,ARI,IND,11,44,4,0,0,0,0,0,0,0,4.40
55,17972,Paul Perkins,RB,2,NYG,DET,7,10,1,0,2,2,12,0,0,0,4.20
56,5451,Jonathan Stewart,RB,2,CAR,BUF,15,40,3,0,1,0,0,0,0,0,4
57,18957,D'Onta Foreman,RB,2,HOU,CIN,12,40,3,0,0,0,0,0,0,0,4
58,13124,DeMarco Murray,RB,2,TEN,JAX,9,25,3,0,2,1,3,0,0,0,3.80
59,16127,Isaiah Crowell,RB,2,CLE,BAL,10,37,4,0,1,0,0,0,0,0,3.70
60,12708,Dion Lewis,RB,2,NE,NO,4,14,4,0,1,1,11,0,0,0,3.50
61,18088,Alex Collins,RB,2,BAL,CLE,7,42,6,0,0,0,0,0,1,1,3.20
62,16345,Branden Oliver,RB,2,LAC,MIA,3,31,10,0,0,0,0,0,0,0,3.10
63,16008,Orleans Darkwa,RB,2,NYG,DET,3,17,6,0,1,1,3,0,0,0,3
64,16112,Jeremy Hill,RB,2,CIN,HOU,6,17,3,0,1,1,2,0,0,0,2.90
65,14533,Robert Turbin,RB,2,IND,ARI,3,11,4,0,1,1,8,0,0,0,2.90
66,4807,Adrian Peterson,RB,2,NO,NE,8,26,3,0,0,0,0,0,0,0,2.60
67,15010,Kerwynn Williams,RB,2,ARI,IND,9,22,2,0,0,0,0,0,0,0,2.20
68,18995,Jamaal Williams,RB,2,GB,ATL,2,6,3,0,1,1,5,0,0,0,2.10
69,16609,Charles Sims,RB,2,TB,CHI,2,2,1,0,3,2,7,0,1,1,1.90
70,15966,David Fluellen,RB,2,TEN,JAX,3,18,6,0,0,0,0,0,0,0,1.80
71,18998,Marlon Mack,RB,2,IND,ARI,6,-3,-1,0,1,1,11,0,0,0,1.80
72,4738,Mike Tolbert,FB,2,BUF,CAR,3,5,2,0,1,1,2,0,0,0,1.70
73,14783,James Develin,RB,2,NE,NO,0,0,0,0,1,1,6,0,0,0,1.60
74,18376,Alan Cross,FB,2,TB,CHI,0,0,0,0,1,1,6,0,0,0,1.60
75,12800,Bilal Powell,RB,2,NYJ,OAK,6,13,2,0,2,0,0,0,0,0,1.30
