Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,17963,Austin Hooper,TE,1,ATL,CHI,2,2,100,128,1,88,64,64,0,0,0,0,0,23.80
2,16920,Jesse James,TE,1,PIT,CLE,8,6,75,41,2,19,5,7,0,0,0,0,0,22.10
3,722,Jason Witten,TE,1,DAL,NYG,9,7,78,59,1,12,7,8,0,0,0,0,0,18.90
4,14856,Zach Ertz,TE,1,PHI,WAS,8,8,100,93,0,23,12,12,0,0,0,0,0,17.30
5,13997,Coby Fleener,TE,1,NO,MIN,6,5,83,54,1,24,9,11,0,0,0,0,0,16.40
6,12751,Charles Clay,TE,1,BUF,NYJ,9,4,44,53,1,35,6,13,0,0,0,0,0,15.30
7,7175,Delanie Walker,TE,1,TEN,OAK,9,7,78,76,0,23,8,11,0,0,0,0,0,14.60
8,13275,Kyle Rudolph,TE,1,MIN,NO,3,3,100,26,1,15,9,9,0,0,0,0,0,11.60
9,8534,Jared Cook,TE,1,OAK,TEN,5,5,100,56,0,22,11,11,0,0,0,0,0,10.60
10,15305,Demetrius Harris,TE,1,KC,NE,2,2,100,15,1,8,8,8,0,0,0,0,0,9.50
11,15048,Travis Kelce,TE,1,KC,NE,7,5,71,40,0,14,6,8,1,4,0,0,0,9.40
12,16200,CJ Fiedorowicz,TE,1,HOU,JAX,4,4,100,46,0,15,12,12,0,0,0,0,0,8.60
13,15100,Jordan Reed,TE,1,WAS,PHI,8,5,63,36,0,9,5,7,0,0,0,0,0,8.60
14,18912,Evan Engram,TE,1,NYG,DAL,5,4,80,44,0,31,9,11,0,0,0,0,0,8.40
15,18057,Seth DeValve,TE,1,CLE,PIT,5,4,80,42,0,21,8,11,0,0,0,0,0,8.20
16,12415,Zach Miller,TE,1,CHI,ATL,6,4,67,39,0,12,7,10,0,0,0,0,0,7.90
17,19063,George Kittle,TE,1,SF,CAR,6,5,83,27,0,13,5,5,0,0,0,0,0,7.70
18,1181,Martellus Bennett,TE,1,GB,SEA,6,3,50,43,0,26,7,14,0,0,0,0,0,7.30
19,16962,AJ Derby,TE,1,DEN,LAC,3,3,100,34,0,13,11,11,0,0,0,0,0,6.40
