Rk,ID,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,15048,Travis Kelce,TE,4,KC,WAS,8,7,88,111,1,32,14,16,1,3,0,0,0,27.40
2,16846,Tyler Kroft,TE,4,CIN,CLE,7,6,86,68,2,21,10,11,0,0,0,0,0,24.80
3,12751,Charles Clay,TE,4,BUF,ATL,7,5,71,112,0,44,16,22,0,0,0,0,0,19.20
4,16593,Cameron Brate,TE,4,TB,NYG,6,4,67,80,1,35,13,20,0,0,0,0,0,18
5,16962,AJ Derby,TE,4,DEN,OAK,6,4,67,75,1,29,13,19,0,0,0,0,0,17.50
6,18901,OJ Howard,TE,4,TB,NYG,4,2,50,63,1,58,16,32,0,0,0,0,0,14.30
7,14856,Zach Ertz,TE,4,PHI,LAC,8,5,63,81,0,38,10,16,0,0,0,0,0,13.10
8,18912,Evan Engram,TE,4,NYG,TB,11,6,55,62,0,21,6,10,0,0,0,0,0,12.20
9,10974,Rob Gronkowski,TE,4,NE,CAR,5,4,80,80,0,43,16,20,0,0,0,0,0,12
10,5084,Vernon Davis,TE,4,WAS,KC,3,2,67,89,0,69,30,45,0,0,0,0,0,10.90
11,11488,Jimmy Graham,TE,4,SEA,IND,6,4,67,61,0,33,10,15,0,0,0,0,0,10.10
12,17963,Austin Hooper,TE,4,ATL,BUF,7,5,71,50,0,18,7,10,0,0,0,0,0,10
13,1181,Martellus Bennett,TE,4,GB,CHI,7,6,86,39,0,26,6,7,0,0,0,0,0,9.90
14,14152,James Hanna,TE,4,DAL,LAR,1,1,100,28,1,28,28,28,0,0,0,0,0,9.80
15,17975,Hunter Henry,TE,4,LAC,PHI,3,2,67,16,1,12,5,8,0,0,0,0,0,9.60
16,11756,Benjamin Watson,TE,4,BAL,PIT,6,5,83,43,0,11,7,9,0,0,0,0,0,9.30
17,12153,Ed Dickson,TE,4,CAR,NE,4,3,75,62,0,25,16,21,0,0,0,0,0,9.20
18,14445,Rhett Ellison,TE,4,NYG,TB,2,2,100,11,1,9,6,6,0,0,0,0,0,9.10
19,16608,Austin Seferian-Jenkins,TE,4,NYJ,JAX,4,4,100,46,0,27,12,12,0,0,0,0,0,8.60
20,16931,Nick Boyle,TE,4,BAL,PIT,5,5,100,36,0,14,7,7,0,0,0,0,0,8.60
21,7175,Delanie Walker,TE,4,TEN,HOU,7,3,43,51,0,21,7,17,0,0,0,0,0,8.10
22,15247,Darren Fells,TE,4,DET,MIN,5,4,80,40,0,10,8,10,0,0,0,0,0,8
23,18032,Tyler Higbee,TE,4,LAR,DAL,6,3,50,47,0,29,8,16,0,0,0,0,0,7.70
24,15602,Jack Doyle,TE,4,IND,SEA,7,5,71,27,0,7,4,5,0,0,0,0,0,7.70
25,15263,Luke Willson,TE,4,SEA,IND,1,1,100,6,1,6,6,6,0,0,0,0,0,7.60
26,8534,Jared Cook,TE,4,OAK,DEN,8,3,38,46,0,28,6,15,0,0,0,0,0,7.60
27,16920,Jesse James,TE,4,PIT,BAL,3,3,100,40,0,18,13,13,0,0,0,0,0,7
28,12415,Zach Miller,TE,4,CHI,GB,2,2,100,45,0,29,23,23,0,0,0,0,0,6.50
29,19063,George Kittle,TE,4,SF,ARI,3,2,67,35,0,21,12,18,0,0,0,0,0,5.50
30,13275,Kyle Rudolph,TE,4,MIN,DET,4,2,50,34,0,19,9,17,0,0,0,0,0,5.40
31,15100,Jordan Reed,TE,4,WAS,KC,5,3,60,21,0,14,4,7,0,0,0,0,0,5.10
32,15378,Levine Toilolo,TE,4,ATL,BUF,3,3,100,21,0,9,7,7,0,0,0,0,0,5.10
33,13027,Julius Thomas,TE,4,MIA,NO,4,2,50,29,0,23,7,15,0,0,0,0,0,4.90
34,18262,Stephen Anderson,TE,4,HOU,TEN,2,2,100,28,0,17,14,14,0,0,0,0,0,4.80
35,7884,Antonio Gates,TE,4,LAC,PHI,5,3,60,18,0,9,4,6,0,0,0,0,0,4.80
36,16451,Eric Ebron,TE,4,DET,MIN,4,2,50,27,0,15,7,14,0,0,0,0,0,4.70
37,15561,Brandon Williams,TE,4,IND,SEA,2,1,50,32,0,32,16,32,0,0,0,0,0,4.20
38,13997,Coby Fleener,TE,4,NO,MIA,4,2,50,21,0,12,5,11,0,0,0,0,0,4.10
39,12777,Lee Smith,TE,4,OAK,DEN,2,2,100,15,0,11,8,8,0,0,0,0,0,3.50
40,14985,Ryan Griffin,TE,4,HOU,TEN,5,2,40,13,0,7,3,7,0,0,0,0,0,3.30
41,11026,Jermaine Gresham,TE,4,ARI,SF,3,2,67,12,0,6,4,6,0,0,0,0,0,3.20
42,18876,David Njoku,TE,4,CLE,CIN,2,2,100,11,0,8,6,6,0,0,0,0,0,3.10
43,16111,Ryan Hewitt,TE,4,CIN,CLE,1,1,100,16,0,16,16,16,0,0,0,0,0,2.60
