Rk,ID,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,14967,Le'Veon Bell,RB,4,PIT,BAL,35,144,4,2,6,4,42,0,1,0,37.60
2,16771,Todd Gurley,RB,4,LAR,DAL,23,121,5,0,8,7,94,1,0,0,37.50
3,12800,Bilal Powell,RB,4,NYJ,JAX,21,163,8,1,5,4,27,0,0,0,32
4,17923,Ezekiel Elliott,RB,4,DAL,LAR,21,85,4,1,5,4,54,1,0,0,29.90
5,13791,Lamar Miller,RB,4,HOU,TEN,19,75,4,1,5,4,56,1,0,0,29.10
6,18878,Alvin Kamara,RB,4,NO,MIA,5,25,5,0,10,10,71,1,0,0,25.60
7,18803,Leonard Fournette,RB,4,JAX,NYJ,24,86,4,0,5,4,59,1,0,0,24.50
8,19109,Elijah McGuire,RB,4,NYJ,JAX,10,93,9,1,2,2,38,0,0,0,21.10
9,16838,Duke Johnson,RB,4,CLE,CIN,4,13,3,1,10,9,47,0,0,0,21
10,16815,Ameer Abdullah,RB,4,DET,MIN,20,94,5,1,4,3,15,0,0,0,19.90
11,12296,LeGarrette Blount,RB,4,PHI,LAC,16,136,9,0,1,1,20,0,0,0,19.60
12,18464,JD McKissic,RB,4,SEA,IND,4,38,10,1,1,1,27,1,0,0,19.50
13,15224,Andre Ellington,RB,4,ARI,SF,5,18,4,0,14,9,86,0,0,0,19.40
14,18944,Kareem Hunt,RB,4,KC,WAS,21,101,5,0,4,4,20,0,0,0,19.10
15,16834,Tevin Coleman,RB,4,ATL,BUF,9,77,9,0,6,4,65,0,1,0,18.20
16,18070,Wendell Smallwood,RB,4,PHI,LAC,10,34,3,1,6,4,45,0,0,0,17.90
17,14916,Giovani Bernard,RB,4,CIN,CLE,3,12,4,0,4,3,67,1,0,0,16.90
18,16524,Devonta Freeman,RB,4,ATL,BUF,18,58,3,1,2,2,20,0,0,0,15.80
19,16056,James White,RB,4,NE,CAR,1,7,7,0,12,10,47,0,0,0,15.40
20,15020,CJ Anderson,RB,4,DEN,OAK,20,95,5,0,4,4,17,0,0,0,15.20
21,16668,Carlos Hyde,RB,4,SF,ARI,16,68,4,0,6,5,27,0,1,0,14.50
22,18067,Jordan Howard,RB,4,CHI,GB,18,53,3,1,4,2,10,0,0,0,14.30
23,19562,Austin Ekeler,RB,4,LAC,PHI,1,35,35,1,2,2,23,0,0,0,13.80
24,11932,LeSean McCoy,RB,4,BUF,ATL,20,76,4,0,3,3,32,0,0,0,13.80
25,18872,Dalvin Cook,RB,4,MIN,DET,13,66,5,1,3,1,8,0,1,1,13.40
26,18996,Wayne Gallman,RB,4,NYG,TB,11,42,4,0,2,2,8,1,1,0,13
27,13299,Jacquizz Rodgers,RB,4,TB,NYG,16,83,5,0,3,2,25,0,0,0,12.80
28,15616,Fozzy Whittaker,RB,4,CAR,NE,0,0,0,0,3,3,34,1,0,0,12.40
29,5820,Frank Gore,RB,4,IND,SEA,12,46,4,0,3,3,34,0,0,0,11
30,19045,Aaron Jones,RB,4,GB,CHI,13,49,4,1,0,0,0,0,0,0,10.90
31,16886,Javorius Allen,RB,4,BAL,PIT,2,7,4,0,6,6,37,0,0,0,10.40
32,13337,Mark Ingram,RB,4,NO,MIA,14,45,3,0,8,4,17,0,0,0,10.20
33,12708,Dion Lewis,RB,4,NE,CAR,4,18,5,1,1,1,9,0,0,0,9.70
34,19119,Chris Carson,RB,4,SEA,IND,12,42,4,0,3,3,24,0,0,0,9.60
35,6828,Chris Johnson,RB,4,ARI,SF,13,32,3,0,3,3,31,0,0,0,9.30
36,18877,Christian McCaffrey,RB,4,CAR,NE,6,16,3,0,6,4,33,0,0,0,8.90
37,19003,Tarik Cohen,RB,4,CHI,GB,6,24,4,0,4,4,24,0,0,0,8.80
38,18858,Joe Mixon,RB,4,CIN,CLE,17,29,2,0,4,4,19,0,0,0,8.80
39,16307,Charcandrick West,RB,4,KC,WAS,1,2,2,0,5,5,33,0,0,0,8.50
40,14269,Alfred Morris,RB,4,DAL,LAR,2,76,38,0,0,0,0,0,0,0,7.60
41,18088,Alex Collins,RB,4,BAL,PIT,9,82,9,0,2,0,0,0,1,1,7.20
