Rk,ID,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,16776,Melvin Gordon,RB,5,LAC,NYG,20,105,5,0,8,6,58,2,0,0,37.30
2,18803,Leonard Fournette,RB,5,JAX,PIT,28,181,7,2,1,1,3,0,0,0,34.40
3,16510,Jerick McKinnon,RB,5,MIN,CHI,16,95,6,1,6,6,51,0,1,0,26.60
4,19045,Aaron Jones,RB,5,GB,DAL,19,125,7,1,1,1,9,0,0,0,23.40
5,14967,Le'Veon Bell,RB,5,PIT,JAX,15,47,3,0,10,10,46,0,0,0,19.30
6,16886,Javorius Allen,RB,5,BAL,OAK,21,73,4,1,5,4,12,0,0,0,18.50
7,18944,Kareem Hunt,RB,5,KC,HOU,29,107,4,0,4,3,9,0,0,0,17.60
8,16838,Duke Johnson,RB,5,CLE,NYJ,6,20,3,0,3,3,63,1,0,0,17.30
9,17923,Ezekiel Elliott,RB,5,DAL,GB,29,116,4,0,2,1,16,0,0,0,17.20
10,18998,Marlon Mack,RB,5,IND,SF,9,91,10,1,1,1,2,0,0,0,16.30
11,16307,Charcandrick West,RB,5,KC,HOU,1,1,1,0,2,2,12,2,0,0,15.30
12,15224,Andre Ellington,RB,5,ARI,PHI,1,-2,-2,0,10,9,65,0,0,0,15.30
13,14385,Doug Martin,RB,5,TB,NE,13,74,6,1,3,1,8,0,0,0,15.20
14,11932,LeSean McCoy,RB,5,BUF,CIN,19,63,3,0,9,6,26,0,1,0,14.90
15,18877,Christian McCaffrey,RB,5,CAR,DET,3,7,2,0,7,5,31,1,0,0,14.80
16,16008,Orleans Darkwa,RB,5,NYG,LAC,8,69,9,1,4,1,3,0,0,0,14.20
17,18996,Wayne Gallman,RB,5,NYG,LAC,11,57,5,0,5,5,25,0,0,0,13.20
18,16056,James White,RB,5,NE,TB,2,3,2,0,9,7,57,0,0,0,13
19,15207,Benjamin Cunningham,RB,5,CHI,MIN,1,4,4,0,4,2,43,1,0,0,12.70
20,12386,Marshawn Lynch,RB,5,OAK,BAL,12,43,4,1,2,1,10,0,0,0,12.30
21,5820,Frank Gore,RB,5,IND,SF,14,48,3,0,4,3,38,0,2,0,11.60
22,18858,Joe Mixon,RB,5,CIN,BUF,15,51,3,1,0,0,0,0,0,0,11.10
23,13791,Lamar Miller,RB,5,HOU,KC,15,74,5,0,3,2,15,0,0,0,10.90
24,19319,Matt Breida,RB,5,SF,IND,10,49,5,0,5,3,22,0,0,0,10.10
25,13124,DeMarco Murray,RB,5,TEN,MIA,14,58,4,0,5,4,11,0,1,1,9.90
26,14901,Kyle Juszczyk,FB,5,SF,IND,1,3,3,0,4,2,14,1,0,0,9.70
27,15126,Theo Riddick,RB,5,DET,CAR,2,8,4,0,5,4,45,0,0,0,9.30
28,16909,Jay Ajayi,RB,5,MIA,TEN,25,77,3,0,3,2,2,0,1,1,8.90
29,16127,Isaiah Crowell,RB,5,CLE,NYJ,16,60,4,0,3,2,7,0,0,0,8.70
30,12780,Shane Vereen,RB,5,NYG,LAC,5,18,4,0,5,4,27,0,0,0,8.50
31,16609,Charles Sims,RB,5,TB,NE,1,3,3,0,7,5,31,0,0,0,8.40
32,12708,Dion Lewis,RB,5,NE,TB,7,53,8,0,2,2,10,0,0,0,8.30
33,18067,Jordan Howard,RB,5,CHI,MIN,19,76,4,0,0,0,0,0,0,0,7.60
34,12296,LeGarrette Blount,RB,5,PHI,ARI,14,74,5,0,0,0,0,0,0,0,7.40
35,5451,Jonathan Stewart,RB,5,CAR,DET,18,21,1,0,3,3,23,0,0,0,7.40
36,12800,Bilal Powell,RB,5,NYJ,CLE,2,5,3,0,5,4,28,0,0,0,7.30
37,17023,Zach Zenner,RB,5,DET,CAR,3,11,4,1,0,0,0,0,0,0,7.10
38,18464,JD McKissic,RB,5,SEA,LAR,2,0,0,0,5,3,36,0,0,0,6.60
39,4738,Mike Tolbert,FB,5,BUF,CIN,3,16,5,0,3,3,18,0,0,0,6.40
40,15071,Latavius Murray,RB,5,MIN,CHI,12,31,3,0,2,2,12,0,0,0,6.30
41,16771,Todd Gurley,RB,5,LAR,SEA,14,43,3,0,4,2,7,0,1,1,6
42,19562,Austin Ekeler,RB,5,LAC,NYG,4,0,0,0,6,3,28,0,0,0,5.80
43,18088,Alex Collins,RB,5,BAL,OAK,12,55,5,0,0,0,0,0,0,0,5.50
44,17050,Thomas Rawls,RB,5,SEA,LAR,8,20,3,0,3,2,15,0,0,0,5.50
45,14872,Mike Gillislee,RB,5,NE,TB,12,52,4,0,0,0,0,0,0,0,5.20
46,14916,Giovani Bernard,RB,5,CIN,BUF,2,2,1,0,2,2,30,0,0,0,5.20
47,19109,Elijah McGuire,RB,5,NYJ,CLE,11,20,2,0,3,2,10,0,0,0,5
48,19548,Corey Clement,RB,5,PHI,ARI,7,17,2,0,1,1,22,0,0,0,4.90
49,17053,Malcolm Brown,RB,5,LAR,SEA,0,0,0,0,2,2,29,0,0,0,4.90
50,16815,Ameer Abdullah,RB,5,DET,CAR,10,31,3,0,1,1,3,0,0,0,4.40
51,12239,Chris Ivory,RB,5,JAX,PIT,8,41,5,0,0,0,0,0,0,0,4.10
52,6828,Chris Johnson,RB,5,ARI,PHI,9,21,2,0,1,1,8,0,0,0,3.90
53,14533,Robert Turbin,RB,5,IND,SF,4,6,2,0,2,2,13,0,0,0,3.90
54,16031,Damien Williams,RB,5,MIA,TEN,3,15,5,0,2,1,13,0,0,0,3.80
55,15138,Eddie Lacy,RB,5,SEA,LAR,9,19,2,0,1,1,9,0,0,0,3.80
56,18690,Jalen Richard,RB,5,OAK,BAL,9,37,4,0,2,0,0,0,0,0,3.70
57,18957,D'Onta Foreman,RB,5,HOU,KC,4,34,9,0,1,1,3,0,1,1,3.70
58,16378,Keith Smith,FB,5,DAL,GB,0,0,0,0,2,2,10,0,0,0,3
59,16668,Carlos Hyde,RB,5,SF,IND,8,11,1,0,1,1,7,0,0,0,2.80
60,17360,Rod Smith,RB,5,DAL,GB,0,0,0,0,1,1,18,0,0,0,2.80
61,13299,Jacquizz Rodgers,RB,5,TB,NE,3,2,1,0,1,1,13,0,0,0,2.50
62,15185,Kenjon Barner,RB,5,PHI,ARI,5,23,5,0,0,0,0,0,0,0,2.30
