Rk,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
181,Harry Douglas,WR,1,TEN,OAK,22,14,3000,0
182,Maurice Harris,WR,1,WAS,PHI,10,30,3000,0
183,Will Fuller,WR,1,HOU,JAX,13,6,3800,0
184,Chad Williams,WR,1,ARI,DET,24,24,3000,0
185,Kevin Norwood,WR,1,NYG,DAL,14,11,3000,0
186,Jaelen Strong,WR,1,HOU,JAX,13,6,3500,0
187,Rashad Greene,WR,1,JAX,HOU,3,5,3000,0
188,John Ross,WR,1,CIN,BAL,8,20,3300,0
189,Dede Westbrook,WR,1,JAX,HOU,3,5,3000,0
190,Kaelin Clay,WR,1,BUF,NYJ,21,16,3000,0
