"DeSean Jackson",4600,TBB,WR,MIN,17.73,5.91,11.82
"Laquon Treadwell",3300,MIN,WR,TBB,6.264,4.176,5.22
"Jarius Wright",3000,MIN,WR,TBB,7.8,0,3.9
"Demaryius Thomas",5900,DEN,WR,BUF,20.6587,10.8813,15.77
"Adam Thielen",5700,MIN,WR,TBB,22.304,5.576,13.94
"Stefon Diggs",6500,MIN,WR,TBB,20.8833,6.7767,13.83
"Adam Humphries",3100,TBB,WR,MIN,11.2,1.6,6.4
"Chris Godwin",3000,TBB,WR,MIN,8.585,1.515,5.05
"Ted Ginn",4100,NOS,WR,CAR,17.0348,5.9852,11.51
"Michael Thomas",7000,NOS,WR,CAR,24.882,9.438,17.16
"Pierre Garcon",5300,SFO,WR,LAR,18.15,9.35,13.75
"Marquise Goodwin",3500,SFO,WR,LAR,15.8099,4.3301,10.07
"Trent Taylor",3000,SFO,WR,LAR,7.546,3.234,5.39
"Pharoh Cooper",3000,LAR,WR,SFO,1.22,0,0.61
"Tavon Austin",3400,LAR,WR,SFO,12.388,0.652,6.52
"Robert Woods",3300,LAR,WR,SFO,14.0614,2.7786,8.42
"Cooper Kupp",4700,LAR,WR,SFO,16.884,7.236,12.06
"Aldrick Robinson",3000,SFO,WR,LAR,8.46,0,4.23
"Jeremy Maclin",5200,BAL,WR,JAC,16.6056,7.8144,12.21
"Keelan Cole",3000,JAC,WR,BAL,5.7951,2.6649,4.23
"Arrelious Benn",3000,JAC,WR,BAL,4.62,0,2.31
"Allen Hurns",4600,JAC,WR,BAL,15.5448,4.7752,10.16
"Marqise Lee",4400,JAC,WR,BAL,17.7689,8.1711,12.97
"Mike Wallace",3700,BAL,WR,JAC,14.707,4.393,9.55
"Breshad Perriman",3000,BAL,WR,JAC,10.4145,2.6855,6.55
"Emmanuel Sanders",5800,DEN,WR,BUF,23.408,7.392,15.4
"Bennie Fowler",3000,DEN,WR,BUF,9.5744,0.6656,5.12
"ArDarius Stewart",3100,NYJ,WR,MIA,3.85,1.65,2.75
"Charone Peake",3000,NYJ,WR,MIA,1.5984,0.5616,1.08
"Odell Beckham",8600,NYG,WR,PHI,26.3175,9.9825,18.15
"Jeremy Kerley",3600,NYJ,WR,MIA,11.2387,0.7813,6.01
"Robby Anderson",3400,NYJ,WR,MIA,13.5421,5.3979,9.47
"Jakeem Grant",3000,MIA,WR,NYJ,1.3775,0.5225,0.95
"Jermaine Kearse",4600,NYJ,WR,MIA,14.19,7.81,11
"Brandon Marshall",5000,NYG,WR,PHI,15.5472,3.4128,9.48
"Sterling Shepard",4700,NYG,WR,PHI,14.61,4.87,9.74
"Nelson Agholor",4200,PHI,WR,NYG,13.846,5.934,9.89
"Mack Hollins",3000,PHI,WR,NYG,1.722,0.738,1.23
"Torrey Smith",3600,PHI,WR,NYG,12.3971,4.0229,8.21
"Alshon Jeffery",5900,PHI,WR,NYG,19.9332,11.7068,15.82
"Roger Lewis",3300,NYG,WR,PHI,5.56,0,2.78
"Dwayne Harris",3000,NYG,WR,PHI,1.2,0,0.6
"Leonte Carroo",3000,MIA,WR,NYJ,2.1,0,1.05
"Kenny Stills",4400,MIA,WR,NYJ,16.6474,4.9726,10.81
"Antonio Brown",9000,PIT,WR,CHI,30.0314,15.1286,22.58
"Martavis Bryant",5700,PIT,WR,CHI,20.6305,5.9895,13.31
"Eli Rogers",3600,PIT,WR,CHI,12.036,2.124,7.08
"Andre Holmes",3000,BUF,WR,DEN,11.0768,2.6832,6.88
"Zay Jones",3100,BUF,WR,DEN,11.788,5.052,8.42
"Cody Latimer",3000,DEN,WR,BUF,4.3488,1.4112,2.88
"Jordan Matthews",3500,BUF,WR,DEN,15.1453,4.9147,10.03
"Juju Smith-Schuster",3000,PIT,WR,CHI,4.578,1.962,3.27
"Darrius Heyward-Bey",3000,PIT,WR,CHI,1.86,0,0.93
"DeVante Parker",6300,MIA,WR,NYJ,19.5499,8.9901,14.27
"Jarvis Landry",6800,MIA,WR,NYJ,20.5656,10.5944,15.58
"Markus Wheaton",3500,CHI,WR,PIT,9.4866,0.2934,4.89
"Deonte Thompson",3400,CHI,WR,PIT,12.784,0.816,6.8
"Kendall Wright",4100,CHI,WR,PIT,20.6305,5.9895,13.31
"Josh Bellamy",3200,CHI,WR,PIT,8.064,3.456,5.76
"Sammy Watkins",5500,LAR,WR,SFO,20.352,5.248,12.8
