Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
124,16856,Matt Jones,RB,17,WAS,NYG,5,9,3400,0
125,16886,Javorius Allen,RB,17,BAL,CIN,13,19,3000,0
126,16887,Mike Davis,RB,17,SF,SEA,4,2,3300,0
127,16928,Michael Burton,FB,17,DET,GB,22,7,3000,0
128,16934,Cameron Artis-Payne,RB,17,CAR,TB,20,24,3800,0
129,16989,Marcus Murphy,RB,17,NO,ATL,29,22,3000,0
130,17016,Terrence Magee,RB,17,SEA,SF,32,32,3000,0
131,17089,Terron Ward,RB,17,ATL,NO,30,30,3000,0
132,17303,Paul Lasike,RB,17,CHI,MIN,6,7,3000,0
133,17965,CJ Prosise,RB,17,SEA,SF,32,32,4700,0
134,18132,Darius Jackson,RB,17,CLE,PIT,8,26,3000,0
135,18153,Daniel Lasco,RB,17,NO,ATL,29,22,3000,0
136,18299,Kenneth Farrow,RB,17,LAC,KC,12,18,4200,0
137,18464,JD McKissic,RB,17,SEA,SF,32,27,3000,0
138,18652,CJ Ham,RB,17,MIN,CHI,18,11,3000,0
139,15645,Khiry Robinson,RB,17,NYJ,BUF,17,29,3500,0
